Substance,EoE-2,EoE-1,EoE,EoE+1,EoE+2,FoE-2,FoE-1,FoE,FoE+1,FoE+2
CAS60111-54-8, 0.18530E-01, 0.18530E+00, 0.18530E+01, 0.18530E+02, 0.18530E+03, 0.00000E+00, 0.00000E+00, 0.10086E+00, 0.71833E+00, 0.97294E+00,
CAS118-82-1, 0.28315E-01, 0.28315E+00, 0.28315E+01, 0.28315E+02, 0.28315E+03, 0.00000E+00, 0.00000E+00, 0.11439E+00, 0.79213E+00, 0.98893E+00,
CAS79538-32-2, 0.29536E+00, 0.29536E+01, 0.29536E+02, 0.29536E+03, 0.29536E+04, 0.12300E-01, 0.11439E+00, 0.51784E+00, 0.90652E+00, 0.93850E+00,
CAS102851-06-9, 0.62030E-01, 0.62030E+00, 0.62030E+01, 0.62030E+02, 0.62030E+03, 0.12300E-02, 0.29520E-01, 0.20787E+00, 0.68881E+00, 0.91636E+00,
CAS70124-77-5, 0.83149E-01, 0.83149E+00, 0.83149E+01, 0.83149E+02, 0.83149E+03, 0.49200E-02, 0.41820E-01, 0.24969E+00, 0.81427E+00, 0.93112E+00,
CAS66841-25-6, 0.33919E-02, 0.33919E-01, 0.33919E+00, 0.33919E+01, 0.33919E+02, 0.00000E+00, 0.00000E+00, 0.20910E-01, 0.12300E+00, 0.53014E+00,
CAS51-21-8, 0.20035E+00, 0.20035E+01, 0.20035E+02, 0.20035E+03, 0.20035E+04, 0.00000E+00, 0.10824E+00, 0.67651E+00, 0.96802E+00, 0.99631E+00,
CAS3234-85-3, 0.14752E-06, 0.14752E-05, 0.14752E-04, 0.14752E-03, 0.14752E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,
CAS67375-30-8, 0.31255E-01, 0.31255E+00, 0.31255E+01, 0.31255E+02, 0.31255E+03, 0.00000E+00, 0.14760E-01, 0.12177E+00, 0.53137E+00, 0.90529E+00,
CAS86479-06-3, 0.62913E-01, 0.62913E+00, 0.62913E+01, 0.62913E+02, 0.62913E+03, 0.12300E-02, 0.30750E-01, 0.31857E+00, 0.38868E+00, 0.42435E+00,
CAS57-63-6, 0.16516E-01, 0.16516E+00, 0.16516E+01, 0.16516E+02, 0.16516E+03, 0.00000E+00, 0.00000E+00, 0.99631E-01, 0.62239E+00, 0.96433E+00,
CAS28434-01-7, 0.10407E-01, 0.10407E+00, 0.10407E+01, 0.10407E+02, 0.10407E+03, 0.00000E+00, 0.49200E-02, 0.54121E-01, 0.28536E+00, 0.84625E+00,
CAS13121-70-5, 0.10920E-01, 0.10920E+00, 0.10920E+01, 0.10920E+02, 0.10920E+03, 0.00000E+00, 0.00000E+00, 0.51661E-01, 0.12915E+00, 0.26076E+00,
CAS52918-63-5, 0.11620E-01, 0.11620E+00, 0.11620E+01, 0.11620E+02, 0.11620E+03, 0.00000E+00, 0.61501E-02, 0.65191E-01, 0.30381E+00, 0.85486E+00,
CAS91465-08-6, 0.74578E-02, 0.74578E-01, 0.74578E+00, 0.74578E+01, 0.74578E+02, 0.00000E+00, 0.49200E-02, 0.35670E-01, 0.22263E+00, 0.78352E+00,
CAS21542-96-1, 0.43320E-04, 0.43320E-03, 0.43320E-02, 0.43320E-01, 0.43320E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.98401E-02,
CAS101463-69-8, 0.47529E-02, 0.47529E-01, 0.47529E+00, 0.47529E+01, 0.47529E+02, 0.00000E+00, 0.12300E-02, 0.25830E-01, 0.22017E+00, 0.38130E+00,
CAS82657-04-3, 0.12819E-02, 0.12819E-01, 0.12819E+00, 0.12819E+01, 0.12819E+02, 0.00000E+00, 0.00000E+00, 0.61501E-02, 0.65191E-01, 0.31734E+00,
CAS52645-53-1, 0.41812E-03, 0.41812E-02, 0.41812E-01, 0.41812E+00, 0.41812E+01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.73801E-02, 0.15129E+00,
CAS41859-67-0, 0.15792E+01, 0.15792E+02, 0.15792E+03, 0.15792E+04, 0.15792E+05, 0.92251E-01, 0.61624E+00, 0.87823E+00, 0.98032E+00, 0.98401E+00,
CAS141-63-9, 0.11870E-02, 0.11870E-01, 0.11870E+00, 0.11870E+01, 0.11870E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.70111E-01, 0.51784E+00,
CAS10311-84-9, 0.18119E+00, 0.18119E+01, 0.18119E+02, 0.18119E+03, 0.18119E+04, 0.36900E-02, 0.87331E-01, 0.63715E+00, 0.89791E+00, 0.93358E+00,
CAS541-02-6, 0.73338E+01, 0.73338E+02, 0.73338E+03, 0.73338E+04, 0.73338E+05, 0.57442E+00, 0.94834E+00, 0.98401E+00, 0.99631E+00, 0.10000E+01,
CAS2642-71-9, 0.17678E+00, 0.17678E+01, 0.17678E+02, 0.17678E+03, 0.17678E+04, 0.36900E-02, 0.87331E-01, 0.62977E+00, 0.90775E+00, 0.94465E+00,
CAS134523-00-5, 0.42522E+00, 0.42522E+01, 0.42522E+02, 0.42522E+03, 0.42522E+04, 0.12300E-02, 0.27675E+00, 0.80320E+00, 0.97786E+00, 0.98401E+00,
CAS52315-07-8, 0.36288E-02, 0.36288E-01, 0.36288E+00, 0.36288E+01, 0.36288E+02, 0.00000E+00, 0.36900E-02, 0.28290E-01, 0.13899E+00, 0.55843E+00,
CAS3689-24-5, 0.13882E+00, 0.13882E+01, 0.13882E+02, 0.13882E+03, 0.13882E+04, 0.36900E-02, 0.76261E-01, 0.53875E+00, 0.89545E+00, 0.93604E+00,
CAS71751-41-2, 0.33518E-05, 0.33518E-04, 0.33518E-03, 0.33518E-02, 0.33518E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,
CAS5598-13-0, 0.14143E+00, 0.14143E+01, 0.14143E+02, 0.14143E+03, 0.14143E+04, 0.36900E-02, 0.71341E-01, 0.56458E+00, 0.92374E+00, 0.95818E+00,
CAS122-62-3, 0.76196E-03, 0.76196E-02, 0.76196E-01, 0.76196E+00, 0.76196E+01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.23370E-01, 0.30012E+00,
CAS70356-09-1, 0.10839E+01, 0.10839E+02, 0.10839E+03, 0.10839E+04, 0.10839E+05, 0.56581E-01, 0.44157E+00, 0.95572E+00, 0.99016E+00, 0.99877E+00,
CAS52-68-6, 0.84854E-01, 0.84854E+00, 0.84854E+01, 0.84854E+02, 0.84854E+03, 0.12300E-02, 0.39360E-01, 0.60394E+00, 0.90652E+00, 0.94834E+00,
CAS41083-11-8, 0.21828E-02, 0.21828E-01, 0.21828E+00, 0.21828E+01, 0.21828E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.75031E-01, 0.21402E+00,
CAS39515-41-8, 0.45140E-02, 0.45140E-01, 0.45140E+00, 0.45140E+01, 0.45140E+02, 0.00000E+00, 0.36900E-02, 0.31980E-01, 0.14022E+00, 0.60025E+00,
CAS134701-20-5, 0.17181E-05, 0.17181E-04, 0.17181E-03, 0.17181E-02, 0.17181E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,
CAS142-90-5, 0.16196E+00, 0.16196E+01, 0.16196E+02, 0.16196E+03, 0.16196E+04, 0.00000E+00, 0.88561E-01, 0.71587E+00, 0.97171E+00, 0.99262E+00,
