case,E2SNO (kmol/y),E2S1 (kmol/y),E2RIV (kmol/y),Etot (kmol/y),S1StorFugP (kmol/y),S1StorFugN (kmol/y),S2StorFugP (kmol/y),S2StorFugN (kmol/y),S3StorFugP (kmol/y),S3StorFugN (kmol/y),SNOStorFugP (kmol/y),SNOStorFugN (kmol/y),S1StorPreP (kmol/y),S1StorPreN (kmol/y),S2StorPreP (kmol/y),S2StorPreN (kmol/y),S3StorPreP (kmol/y),S3StorPreN (kmol/y),SNOStorPreP (kmol/y),SNOStorPreN (kmol/y),S1StorIonP (kmol/y),S1StorIonN (kmol/y),S2StorIonP (kmol/y),S2StorIonN (kmol/y),S3StorIonP (kmol/y),S3StorIonN (kmol/y),SNOStorIonP (kmol/y),SNOStorIonN (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),DecayS1 (kmol/y),DecayS2 (kmol/y),DecayS3 (kmol/y),DecaySNO (kmol/y),Decay (kmol/y),VolatS1 (kmol/y),VolatS2 (kmol/y),VolatS3 (kmol/y),VolatSNO (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),RGWStorPFug (kmol/y),RGWStorNFug (kmol/y),RGWStorPPre (kmol/y),RGWStorNPre (kmol/y),RGWStorPIon (kmol/y),RGWStorNIon (kmol/y),RGWS1PFug (kmol/y),RGWS1NFug (kmol/y),RGWS2PFug (kmol/y),RGWS2NFug (kmol/y),RGWS3PFug (kmol/y),RGWS3NFug (kmol/y),RGWS1PPre (kmol/y),RGWS1NPre (kmol/y),RGWS2PPre (kmol/y),RGWS2NPre (kmol/y),RGWS3PPre (kmol/y),RGWS3NPre (kmol/y),RGWS1PIon (kmol/y),RGWS1NIon (kmol/y),RGWS2PIon (kmol/y),RGWS2NIon (kmol/y),RGWS3PIon (kmol/y),RGWS3NIon (kmol/y),RGWDecay (kmol/y),
"85-43-8", -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    ,
"19438-60-9", -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    ,
"1071-83-6",  102.78    ,  1015.5    ,  15.111    ,  1133.4    ,  0.0000    ,-0.49243E-02,  0.0000    ,-0.29413E-01,  0.0000    ,-0.15500E-01, 0.13020    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -27.906    ,  43.253    ,  0.0000    ,  0.0000    , -232.92    ,  1.4643    ,  0.0000    , 0.80509E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -379.66    ,-0.87166    ,-0.24771    ,  0.0000    ,  0.0000    , -24.577    , -712.73    , -14.538    ,  0.0000    ,  0.0000    ,-0.96532    , -15.263    ,-0.84129E-04,  0.0000    ,  0.0000    ,-0.77699E-01,-0.77783E-01,-0.17757E-08,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -170.57    ,  0.0000    ,  0.0000    , 0.11403E-02,-0.20932E-02, 0.67459E-03,-0.11504E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  8.5026    ,  0.0000    ,  162.08    ,  0.0000    ,-0.40210E-05,
"100-44-7", -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    ,
"1506-02-1", -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    ,
"90-80-2",  1.6964    ,  14.129    ,  14.899    ,  30.724    ,  0.0000    ,-0.94949E-01, 0.26862E-01,  0.0000    , 0.10768E-01,  0.0000    , 0.26156E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.21014E-04, 0.67969E-05,  0.0000    , 0.26303E-05,  0.0000    , 0.44700E-05,  0.0000    ,  0.0000    ,-0.46010E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.97682E-05, -1.9777    , -7.0359    ,  0.0000    ,  0.0000    ,-0.21666E-03,-0.16273E-02, -12.198    , -2.2943    ,-0.19357    ,-0.82999    , -21.658    ,-0.26468E-04,  0.0000    ,  0.0000    ,-0.33946E-02,-0.34213E-02,-0.40293E-08,  0.0000    ,  0.0000    , 0.83069E-03,  0.0000    ,  0.0000    ,  0.0000    , 0.22993E-06,  0.0000    ,  0.0000    ,  0.0000    , 0.54296E-02,  0.0000    , 0.60926E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.13710E-05,  0.0000    , 0.15361E-05,  0.0000    ,-0.12515E-01,
"515-84-4", -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    , -999.00    ,
"6440-58-0", 0.54959    ,  4.5833    ,  8.2653    ,  13.398    ,  0.0000    ,-0.20129    , 0.83166E-01,  0.0000    , 0.56446E-01,  0.0000    , 0.13802E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.70349E-07, 0.31690E-07,  0.0000    , 0.22050E-07,  0.0000    , 0.41073E-08,  0.0000    ,  0.0000    ,-0.76299E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.28833E-07, -1.2647    , -7.5056    ,  0.0000    ,  0.0000    ,-0.27102E-06,-0.29516E-05, -1.0146    , -1.5184    ,-0.95146    ,-0.30112E-01, -4.5510    ,-0.16382E-04,  0.0000    ,  0.0000    ,-0.13701E-02,-0.13867E-02,-0.18237E-06,  0.0000    ,  0.0000    ,  0.0000    ,-0.46813E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.21139E-07,  0.0000    ,  0.0000    , 0.38550E-01,  0.0000    , 0.22744    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.16627E-07,  0.0000    , 0.94819E-07,  0.0000    ,-0.21932    ,
"108-77-0",  36.843    ,  308.59    ,  422.26    ,  767.69    , 0.57719E+07,  0.0000    ,  0.0000    ,-0.23119E+06, 0.13964E+07,  0.0000    , 0.98766E+07,  0.0000    ,  0.0000    ,-0.47863E+09,  0.0000    ,-0.65536E+09,  0.0000    ,-0.13519E+10, 0.44870E+07,  0.0000    ,  0.0000    , -250.94    ,  0.0000    , -443.26    ,  0.0000    , -68.256    ,  987.52    ,  0.0000    , 0.38890E+07,  0.0000    ,  0.0000    ,-0.12801E+10,  0.0000    , -4058.6    ,-0.49766E+07,-0.14150E+09,-0.10546E+08,-0.37183E+09, -1581.1    , -53333.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12165E+08,  0.0000    ,  0.0000    ,-0.28131E+07,-0.16057E+08, -33012.    ,-0.47600E+09,  0.0000    ,  0.0000    ,-0.19092E+08, 0.78529E+09,  0.0000    ,  0.0000    , -6709.3    ,  0.0000    ,  0.0000    , 0.18831E+07, -2823.4    , 0.50203E+08, -14501.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  696.19    ,  0.0000    ,  19200.    ,  0.0000    ,-0.81573E+09,
"85-44-9",  656.63    ,  5528.3    ,  1365.3    ,  7550.3    , 0.51149E+07,  0.0000    ,  0.0000    ,-0.28917E+07, 0.13141E+07,  0.0000    ,  0.0000    , -55.376    ,  0.0000    ,-0.24662E+07, 0.22172E+08,  0.0000    , 0.44400E+08,  0.0000    ,  0.0000    , -1.4606    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.45673E+08, 0.35416E+08,  0.0000    ,  0.0000    ,  0.0000    ,-0.30052E+07,-0.43460E+08,-0.22422E+07,-0.53096E+08,  0.0000    ,  0.0000    ,  0.0000    ,-0.72226E+08,-0.64106E+08,  0.0000    ,  0.0000    ,-0.13853E+08,  0.0000    ,  0.0000    ,-0.20500E+07,-0.54826E+08, -16442.    ,-0.74013E+08,  0.0000    ,  0.0000    ,-0.18011E+08,  0.0000    ,-0.44513E+08,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.17565E+07, -48273.    , 0.47696E+08,-0.12606E+07,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,
