case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"100986-85-4", 0.40083E-01,  0.0000    ,-0.39373E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.10214E-02,-0.40853E-02,-0.11055E-01,  0.0000    ,  0.0000    ,-0.17353E-02,-0.21706E-01,-0.82388E-04,  0.0000    ,-0.26593E-08,  0.0000    ,  0.0000    ,
"138402-11-6",  2.6591    ,  0.0000    ,-0.12422E-01,  0.0000    ,-0.26853E-04,  0.0000    ,-0.86577E-01,-0.22735    ,-0.34425    ,-0.29658E-07,-0.81560E-05,-0.14810    , -1.7812    ,-0.57007E-01,  0.0000    ,-0.21361E-02,-0.54005E-08,  0.0000    ,
"298-46-4",  18.536    ,  0.0000    ,-0.14624    ,  0.0000    ,-0.65435E-04,  0.0000    ,-0.42422    , -1.8156    , -4.1064    ,-0.56490E-07,-0.13227E-04,-0.95408    , -10.948    ,-0.14047    ,-0.50634E-04,-0.18074E-03,-0.12808E-07,  0.0000    ,
"50-78-2",  12.111    ,  0.0000    ,-0.83961E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.94738    ,-0.83883    ,-0.44831    ,  0.0000    ,  0.0000    ,-0.70701    , -8.8342    ,-0.33430    ,-0.15891E-03,-0.17788E-05,  0.0000    ,  0.0000    ,
"56-75-7", 0.25853E-01,  0.0000    ,-0.19671E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.51776E-05,-0.36116E-02,-0.19272E-01,  0.0000    ,  0.0000    ,-0.52933E-04,-0.55900E-03,-0.21543E-02,  0.0000    ,-0.27617E-07,  0.0000    ,  0.0000    ,
"59-67-6", 0.50830    ,  0.0000    ,-0.39898E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.32067E-01,-0.37559E-01,-0.20315E-01,  0.0000    ,  0.0000    ,-0.30731E-01,-0.38012    ,-0.74645E-02,-0.28556E-05,-0.11657E-07,  0.0000    ,  0.0000    ,
"723-46-6",  6.3279    ,  0.0000    ,-0.52028E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.23082    ,-0.52050    ,-0.19922    ,  0.0000    ,  0.0000    ,-0.42136    , -4.9366    ,-0.19331E-01,  0.0000    ,-0.28267E-06,  0.0000    ,  0.0000    ,
"84057-84-1",  4.3538    ,  0.0000    ,-0.15954    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12058E-02,-0.63012    , -3.5388    ,  0.0000    ,  0.0000    ,-0.17329E-02,-0.22850E-01,  0.0000    ,-0.47126E-04,-0.34053E-04,  0.0000    ,  0.0000    ,
"76824-35-6", 0.22201E-01,  0.0000    ,-0.36983E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.97553E-04,-0.29563E-02,-0.14576E-01,  0.0000    ,  0.0000    ,-0.24973E-03,-0.32137E-02,-0.73838E-03,  0.0000    ,-0.55661E-09,  0.0000    ,  0.0000    ,
"68-35-9", 0.28486E-01,  0.0000    ,-0.95104E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.25853E-08,-0.41342E-02,-0.23233E-01,  0.0000    ,  0.0000    ,-0.39525E-08,-0.51921E-07,-0.16851E-03,-0.23656E-06,-0.37339E-08,  0.0000    ,  0.0000    ,
"94-36-0", 0.16055    ,  0.0000    ,-0.10124E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.69411E-02,-0.33344E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.11280    ,-0.64411E-02,-0.14438E-04,  0.0000    ,  0.0000    ,
"101200-48-0", 0.98246E-02, 0.16998E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10107E-02,-0.16150E-05,-0.16988E-05,  0.0000    ,  0.0000    ,-0.17583E-03,-0.85443E-02,-0.10140E-03,-0.20090E-05,-0.30192E-09,  0.0000    ,  0.0000    ,
"104206-82-8",  58.986    , 0.96720E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -21.070    ,-0.36058E-01,-0.86938E-02,  0.0000    ,  0.0000    , -1.3788    , -36.074    ,-0.41983    ,-0.20093E-03,-0.12553E-06,  0.0000    ,  0.0000    ,
"112410-23-8", 0.85816    ,  0.0000    ,-0.40410E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.56137E-02,-0.46910E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.76431    ,-0.12249E-04,-0.86259E-03,  0.0000    ,  0.0000    ,
