case,E2SNO (kmol/y),E2S1 (kmol/y),E2RIV (kmol/y),Etot (kmol/y),S1StorFugP (kmol/y),S1StorFugN (kmol/y),S2StorFugP (kmol/y),S2StorFugN (kmol/y),S3StorFugP (kmol/y),S3StorFugN (kmol/y),SNOStorFugP (kmol/y),SNOStorFugN (kmol/y),S1StorPreP (kmol/y),S1StorPreN (kmol/y),S2StorPreP (kmol/y),S2StorPreN (kmol/y),S3StorPreP (kmol/y),S3StorPreN (kmol/y),SNOStorPreP (kmol/y),SNOStorPreN (kmol/y),S1StorIonP (kmol/y),S1StorIonN (kmol/y),S2StorIonP (kmol/y),S2StorIonN (kmol/y),S3StorIonP (kmol/y),S3StorIonN (kmol/y),SNOStorIonP (kmol/y),SNOStorIonN (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),DecayS1 (kmol/y),DecayS2 (kmol/y),DecayS3 (kmol/y),DecaySNO (kmol/y),Decay (kmol/y),VolatS1 (kmol/y),VolatS2 (kmol/y),VolatS3 (kmol/y),VolatSNO (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),RGWStorPFug (kmol/y),RGWStorNFug (kmol/y),RGWStorPPre (kmol/y),RGWStorNPre (kmol/y),RGWStorPIon (kmol/y),RGWStorNIon (kmol/y),RGWS1PFug (kmol/y),RGWS1NFug (kmol/y),RGWS2PFug (kmol/y),RGWS2NFug (kmol/y),RGWS3PFug (kmol/y),RGWS3NFug (kmol/y),RGWS1PPre (kmol/y),RGWS1NPre (kmol/y),RGWS2PPre (kmol/y),RGWS2NPre (kmol/y),RGWS3PPre (kmol/y),RGWS3NPre (kmol/y),RGWS1PIon (kmol/y),RGWS1NIon (kmol/y),RGWS2PIon (kmol/y),RGWS2NIon (kmol/y),RGWS3PIon (kmol/y),RGWS3NIon (kmol/y),RGWDecay (kmol/y),
"100986-85-4", 0.79366E-04, 0.63532E-03, 0.39368E-01, 0.40083E-01,  0.0000    ,-0.82308E-05, 0.10019E-04,  0.0000    ,  0.0000    ,-0.31717E-04, 0.57862E-06,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.20639E-04, 0.23587E-04,  0.0000    ,  0.0000    ,-0.84627E-04, 0.10258E-05,  0.0000    ,  0.0000    ,-0.39373E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.10214E-02,-0.40853E-02,-0.11055E-01,  0.0000    ,  0.0000    ,-0.17353E-02,-0.21706E-01,-0.24153E-05,-0.67594E-05,-0.88435E-05,-0.50345E-07,-0.82388E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.26593E-08,  0.0000    ,  0.0000    ,  0.0000    ,-0.65927E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.14573E-03,  0.0000    ,  0.0000    , 0.48477E-05,  0.0000    , 0.58735E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.11103E-04,  0.0000    , 0.14062E-03,  0.0000    ,-0.43395E-05,
"138402-11-6", 0.12941E-01, 0.11548    ,  2.5307    ,  2.6591    ,  0.0000    ,-0.67753E-03, 0.61061E-03,  0.0000    ,  0.0000    ,-0.24167E-02, 0.55935E-04,  0.0000    ,  0.0000    ,-0.54270E-07,  0.0000    ,-0.56267E-07,  0.0000    ,-0.99835E-07,  0.0000    ,-0.26533E-04,  0.0000    ,-0.46351E-02, 0.41511E-02,  0.0000    ,  0.0000    ,-0.17035E-01, 0.21561E-03,  0.0000    ,  0.0000    ,-0.12422E-01,  0.0000    ,-0.26853E-04,  0.0000    ,-0.86577E-01,-0.22735    ,-0.34425    ,-0.29658E-07,-0.81560E-05,-0.14810    , -1.7812    ,-0.31265E-02,-0.75851E-02,-0.86419E-02,-0.79971E-04,-0.57007E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.21361E-02,-0.54005E-08,  0.0000    ,  0.0000    ,-0.23672E-02,  0.0000    ,-0.49398E-07,  0.0000    ,-0.19601E-01,  0.0000    ,  0.0000    , 0.34745E-04,  0.0000    , 0.27936E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.22652E-02,  0.0000    , 0.22458E-01,  0.0000    ,-0.31126E-02,
"298-46-4", 0.44392E-01, 0.42450    ,  18.068    ,  18.536    ,  0.0000    ,-0.50788E-02, 0.52614E-02,  0.0000    ,  0.0000    ,-0.19231E-01, 0.33152E-03,  0.0000    ,  0.0000    ,-0.16532E-07,  0.0000    ,-0.19409E-07,  0.0000    ,-0.35123E-07,  0.0000    ,-0.65067E-04,  0.0000    ,-0.14737E-01, 0.16299E-01,  0.0000    ,  0.0000    ,-0.55606E-01, 0.58437E-03,  0.0000    ,  0.0000    ,-0.14624    ,  0.0000    ,-0.65435E-04,  0.0000    ,-0.42422    , -1.8156    , -4.1064    ,-0.56490E-07,-0.13227E-04,-0.95408    , -10.948    ,-0.52468E-02,-0.14361E-01,-0.17934E-01,-0.10893E-03,-0.14047    ,-0.23598E-05,  0.0000    ,  0.0000    ,-0.47807E-04,-0.50634E-04,-0.18074E-03,-0.12808E-07,  0.0000    ,  0.0000    ,-0.24485E-01,  0.0000    ,-0.22229E-06,  0.0000    ,-0.83668E-01,  0.0000    ,  0.0000    , 0.21204E-02,  0.0000    , 0.24301E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.72749E-02,  0.0000    , 0.81915E-01,  0.0000    ,-0.77127E-02,
"50-78-2", 0.20611    ,  1.6679    ,  10.237    ,  12.111    ,  0.0000    ,-0.46288E-03, 0.10018E-04,  0.0000    ,  0.0000    ,-0.16069E-04, 0.54206E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.79271E-01, 0.57059E-01,  0.0000    ,  0.0000    ,-0.29609    , 0.36098E-02,  0.0000    ,  0.0000    ,-0.83961E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.94738    ,-0.83883    ,-0.44831    ,  0.0000    ,  0.0000    ,-0.70701    , -8.8342    ,-0.54034E-01,-0.16120E-02,-0.67917E-03,-0.42862E-02,-0.33430    ,-0.32298E-04,  0.0000    ,  0.0000    ,-0.11888E-03,-0.15891E-03,-0.17788E-05,  0.0000    ,  0.0000    ,  0.0000    ,-0.16076E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.33992    ,  0.0000    ,  0.0000    , 0.86408E-05,  0.0000    , 0.17771E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.30737E-01,  0.0000    , 0.30924    ,  0.0000    ,-0.22793E-03,
"56-75-7", 0.98748E-04, 0.80061E-03, 0.24954E-01, 0.25853E-01,  0.0000    ,-0.36272E-04, 0.22453E-04,  0.0000    , 0.80032E-05,  0.0000    , 0.20958E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10140E-05, 0.66747E-06,  0.0000    , 0.28605E-06,  0.0000    , 0.53193E-07,  0.0000    ,  0.0000    ,-0.19671E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.51776E-05,-0.36116E-02,-0.19272E-01,  0.0000    ,  0.0000    ,-0.52933E-04,-0.55900E-03,-0.14608E-03,-0.25795E-03,-0.19457E-03,-0.39000E-05,-0.21543E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.27617E-07,  0.0000    ,  0.0000    ,  0.0000    ,-0.20820E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.67833E-06,  0.0000    ,  0.0000    , 0.95494E-05,  0.0000    , 0.71429E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.30110E-06,  0.0000    , 0.21629E-05,  0.0000    ,-0.62346E-04,
"59-67-6", 0.58198E-02, 0.46941E-01, 0.45554    , 0.50830    ,  0.0000    ,-0.13169E-04, 0.19859E-06,  0.0000    ,  0.0000    ,-0.53845E-06, 0.15008E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.22537E-02, 0.16779E-02,  0.0000    ,  0.0000    ,-0.84784E-02, 0.10314E-03,  0.0000    ,  0.0000    ,-0.39898E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.32067E-01,-0.37559E-01,-0.20315E-01,  0.0000    ,  0.0000    ,-0.30731E-01,-0.38012    ,-0.82330E-03,-0.27043E-04,-0.12043E-04,-0.63512E-04,-0.74645E-02,-0.83529E-07,  0.0000    ,  0.0000    ,-0.27422E-05,-0.28556E-05,-0.11657E-07,  0.0000    ,  0.0000    ,  0.0000    ,-0.55229E-06,  0.0000    ,  0.0000    ,  0.0000    ,-0.10101E-01,  0.0000    ,  0.0000    , 0.26224E-06,  0.0000    , 0.60745E-06,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.89546E-03,  0.0000    , 0.92020E-02,  0.0000    ,-0.41965E-05,
"723-46-6", 0.23558E-01, 0.22641    ,  6.0780    ,  6.3279    ,  0.0000    ,-0.49449E-04, 0.85393E-06,  0.0000    ,  0.0000    ,-0.53017E-05, 0.45761E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10816E-01, 0.10220E-01,  0.0000    ,  0.0000    ,-0.45005E-01, 0.37255E-03,  0.0000    ,  0.0000    ,-0.52028E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.23082    ,-0.52050    ,-0.19922    ,  0.0000    ,  0.0000    ,-0.42136    , -4.9366    ,-0.83043E-03,-0.36509E-04,-0.23094E-04,-0.52825E-04,-0.19331E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.28267E-06,  0.0000    ,  0.0000    ,  0.0000    ,-0.58016E-05,  0.0000    ,  0.0000    ,  0.0000    ,-0.57510E-01,  0.0000    ,  0.0000    , 0.14616E-05,  0.0000    , 0.61104E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.47747E-02,  0.0000    , 0.52662E-01,  0.0000    ,-0.90736E-05,
"84057-84-1", 0.90152E-02, 0.74216E-01,  4.2705    ,  4.3538    ,  0.0000    ,-0.33714E-02, 0.37978E-02,  0.0000    ,  0.0000    ,-0.14819E-01, 0.22220E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24803E-04, 0.25554E-04,  0.0000    ,  0.0000    ,-0.11329E-03, 0.11462E-05,  0.0000    ,  0.0000    ,-0.15954    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12058E-02,-0.63012    , -3.5388    ,  0.0000    ,  0.0000    ,-0.17329E-02,-0.22850E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24047E-05,  0.0000    ,  0.0000    ,-0.44396E-04,-0.47126E-04,-0.34053E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.24809E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.15813E-03,  0.0000    ,  0.0000    , 0.18499E-02,  0.0000    , 0.22867E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.12560E-04,  0.0000    , 0.16261E-03,  0.0000    ,  0.0000    ,
"76824-35-6", 0.52794E-04, 0.41136E-03, 0.21737E-01, 0.22201E-01,  0.0000    ,-0.15318E-04, 0.15597E-04,  0.0000    ,  0.0000    ,-0.19641E-04, 0.93016E-06,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.38960E-05, 0.37153E-05,  0.0000    ,  0.0000    ,-0.55298E-05, 0.20552E-06,  0.0000    ,  0.0000    ,-0.36983E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.97553E-04,-0.29563E-02,-0.14576E-01,  0.0000    ,  0.0000    ,-0.24973E-03,-0.32137E-02,-0.26485E-04,-0.65027E-04,-0.72343E-04,-0.65389E-06,-0.73838E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.55661E-09,  0.0000    ,  0.0000    ,  0.0000    ,-0.51990E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.11501E-04,  0.0000    ,  0.0000    , 0.66080E-05,  0.0000    , 0.69831E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.15339E-05,  0.0000    , 0.16940E-04,  0.0000    ,-0.31792E-04,
"68-35-9", 0.57490E-04, 0.46474E-03, 0.27964E-01, 0.28486E-01,  0.0000    ,-0.21183E-04, 0.24571E-04,  0.0000    ,  0.0000    ,-0.77157E-04, 0.13941E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.53745E-10, 0.58963E-10,  0.0000    ,  0.0000    ,-0.20454E-09, 0.26511E-11,  0.0000    ,  0.0000    ,-0.95104E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.25853E-08,-0.41342E-02,-0.23233E-01,  0.0000    ,  0.0000    ,-0.39525E-08,-0.51921E-07,-0.47181E-05,-0.13593E-04,-0.17661E-04,-0.10969E-06,-0.16851E-03,-0.60101E-08,  0.0000    ,  0.0000    ,-0.22973E-06,-0.23656E-06,-0.37339E-08,  0.0000    ,  0.0000    ,  0.0000    ,-0.14265E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.32385E-09,  0.0000    ,  0.0000    , 0.11376E-04,  0.0000    , 0.13947E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.26465E-10,  0.0000    , 0.33890E-09,  0.0000    ,-0.86896E-05,
