case;E2SNO (kmol/y);E2S1 (kmol/y);E2RIV (kmol/y);Etot (kmol/y);S1StorFugP (kmol/y);S1StorFugN (kmol/y);S2StorFugP (kmol/y);S2StorFugN (kmol/y);S3StorFugP (kmol/y);S3StorFugN (kmol/y);SNOStorFugP (kmol/y);SNOStorFugN (kmol/y);S1StorPreP (kmol/y);S1StorPreN (kmol/y);S2StorPreP (kmol/y);S2StorPreN (kmol/y);S3StorPreP (kmol/y);S3StorPreN (kmol/y);SNOStorPreP (kmol/y);SNOStorPreN (kmol/y);S1StorIonP (kmol/y);S1StorIonN (kmol/y);S2StorIonP (kmol/y);S2StorIonN (kmol/y);S3StorIonP (kmol/y);S3StorIonN (kmol/y);SNOStorIonP (kmol/y);SNOStorIonN (kmol/y);Fug-stora (kmol/y);Fug-storb (kmol/y);Pre-stora (kmol/y);Pre-storb (kmol/y);Ion-stora (kmol/y);Ion-storb (kmol/y);Fug-Abs (kmol/y);Fug-Sea (kmol/y);Pre-Abs (kmol/y);Pre-Sea (kmol/y);Ion-Abs (kmol/y);Ion-Sea (kmol/y);DecayS1 (kmol/y);DecayS2 (kmol/y);DecayS3 (kmol/y);DecaySNO (kmol/y);Decay (kmol/y);VolatS1 (kmol/y);VolatS2 (kmol/y);VolatS3 (kmol/y);VolatSNO (kmol/y);Volat (kmol/y);Fug-Sed (kmol/y);Pre-Sed (kmol/y);Ion-Sed (kmol/y);RGWStorPFug (kmol/y);RGWStorNFug (kmol/y);RGWStorPPre (kmol/y);RGWStorNPre (kmol/y);RGWStorPIon (kmol/y);RGWStorNIon (kmol/y);RGWS1PFug (kmol/y);RGWS1NFug (kmol/y);RGWS2PFug (kmol/y);RGWS2NFug (kmol/y);RGWS3PFug (kmol/y);RGWS3NFug (kmol/y);RGWS1PPre (kmol/y);RGWS1NPre (kmol/y);RGWS2PPre (kmol/y);RGWS2NPre (kmol/y);RGWS3PPre (kmol/y);RGWS3NPre (kmol/y);RGWS1PIon (kmol/y);RGWS1NIon (kmol/y);RGWS2PIon (kmol/y);RGWS2NIon (kmol/y);RGWS3PIon (kmol/y);RGWS3NIon (kmol/y);RGWDecay (kmol/y)
85-43-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
19438-60-9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
1071-83-6;102.78;1015.5;15.111;1133.4;0;-4.92E-03;0;-2.94E-02;0;-1.55E-02;0.1302;0;0;0;0;0;0;0;0;0;0;-27.906;43.253;0;0;-232.92;1.4643;0;8.05E-02;0;0;0;0;-379.66;-0.87166;-0.24771;0;0;-24.577;-712.73;-14.538;0;0;-0.96532;-15.263;-8.41E-05;0;0;-7.77E-02;-7.78E-02;-1.78E-09;0;0;0;0;0;0;0;-170.57;0;0;1.14E-03;-2.09E-03;6.75E-04;-1.15E-02;0;0;0;0;0;0;0;0;8.5026;0;162.08;0;-4.02E-06
100-44-7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
1506-02-1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
90-80-2;1.6964;14.129;14.899;30.724;0;-9.49E-02;2.69E-02;0;1.08E-02;0;2.62E-02;0;0;0;0;0;0;0;0;0;0;-2.10E-05;6.80E-06;0;2.63E-06;0;4.47E-06;0;0;-4.60E-02;0;0;0;-9.77E-06;-1.9777;-7.0359;0;0;-2.17E-04;-1.63E-03;-12.198;-2.2943;-0.19357;-0.82999;-21.658;-2.65E-05;0;0;-3.39E-03;-3.42E-03;-4.03E-09;0;0;8.31E-04;0;0;0;2.30E-07;0;0;0;5.43E-03;0;6.09E-03;0;0;0;0;0;0;0;0;0;1.37E-06;0;1.54E-06;0;-1.25E-02
515-84-4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
6440-58-0;0.54959;4.5833;8.2653;13.398;0;-0.20129;8.32E-02;0;5.64E-02;0;1.38E-02;0;0;0;0;0;0;0;0;0;0;-7.03E-08;3.17E-08;0;2.21E-08;0;4.11E-09;0;0;-7.63E-02;0;0;0;-2.88E-08;-1.2647;-7.5056;0;0;-2.71E-07;-2.95E-06;-1.0146;-1.5184;-0.95146;-3.01E-02;-4.551;-1.64E-05;0;0;-1.37E-03;-1.39E-03;-1.82E-07;0;0;0;-4.68E-02;0;0;0;-2.11E-08;0;0;3.86E-02;0;0.22744;0;0;0;0;0;0;0;0;0;1.66E-08;0;9.48E-08;0;-0.21932
108-77-0;36.843;308.59;422.26;767.69;5.77E+06;0;0;-2.31E+05;1.40E+06;0;9.88E+06;0;0;-4.79E+08;0;-6.55E+08;0;-1.35E+09;4.49E+06;0;0;-250.94;0;-443.26;0;-68.256;987.52;0;3.89E+06;0;0;-1.28E+09;0;-4058.6;-4.98E+06;-1.42E+08;-1.05E+07;-3.72E+08;-1581.1;-53333;0;0;0;0;0;-1.22E+07;0;0;-2.81E+06;-1.61E+07;-33012;-4.76E+08;0;0;-1.91E+07;7.85E+08;0;0;-6709.3;0;0;1.88E+06;-2823.4;5.02E+07;-14501;0;0;0;0;0;0;0;0;696.19;0;19200;0;-8.16E+08
85-44-9;656.63;5528.3;1365.3;7550.3;5.11E+06;0;0;-2.89E+06;1.31E+06;0;0;-55.376;0;-2.47E+06;2.22E+07;0;4.44E+07;0;0;-1.4606;0;0;0;0;0;0;0;0;0;-4.57E+07;3.54E+07;0;0;0;-3.01E+06;-4.35E+07;-2.24E+06;-5.31E+07;0;0;0;-7.22E+07;-6.41E+07;0;0;-1.39E+07;0;0;-2.05E+06;-5.48E+07;-16442;-7.40E+07;0;0;-1.80E+07;0;-4.45E+07;0;0;0;0;1.76E+06;-48273;4.77E+07;-1.26E+06;0;0;0;0;0;0;0;0;0;0;0;0;0
