CAS,50centile,95centile,99centile,
1799-84-4,6.623699999999999e-09,7.856341999999998e-08,1.8672573999999977e-07,
360-64-5,1.7648e-07,5.063625999999999e-06,2.0838355999999966e-05,
151772-59-7,2.4293499999999997e-09,7.719139999999999e-08,4.0672990399999985e-07,
375-01-9,1.6735e-08,1.8936659999999996e-07,4.964570359999995e-07,
375-62-2,9.592549999999999e-09,1.1020459999999993e-07,2.645997839999995e-07,
191614-02-5,3.1073e-08,5.785877999999998e-07,1.6529095999999991e-06,
80806-68-4,9.09505e-09,1.7391879999999984e-07,5.165023839999995e-07,
3830-45-3,7.87075e-09,9.923723999999995e-08,2.5343249599999986e-07,
71546-78-6,4.6191e-09,6.550903999999998e-08,1.6263775199999987e-07,
119083-00-0,2.8130500000000002e-08,6.829287999999997e-07,2.698290679999997e-06,
1000-28-8,9.77835e-09,1.1535939999999999e-07,2.714754719999995e-07,
19064-18-7,3.8714e-08,8.230419999999998e-07,2.473864279999997e-06,
16486-94-5,7.0236e-11,2.2816839999999987e-09,1.0210191039999994e-08,
79622-59-6,5.648499999999999e-09,3.568273999999998e-07,5.785157199999997e-06,
39108-34-4,7.73475e-09,2.1329779999999994e-07,7.251733119999996e-07,
383-07-3,8.0542e-12,2.0024339999999982e-10,9.414634479999993e-10,
67969-69-1,4.3878e-09,1.269224e-07,5.560089439999995e-07,
661-95-0,1.9414e-08,2.2374159999999984e-07,8.583372519999996e-07,
70887-84-2,2.6467499999999998e-09,4.325101999999999e-08,9.562550919999997e-08,
256473-04-8,2.3278999999999998e-07,4.574623999999999e-06,1.0614602799999997e-05,
85631-54-5,0.0,0.0,0.0,
2641-34-1,1.4164000000000001e-11,2.7502619999999975e-10,6.941342559999989e-10,
68140-21-6,4.13825e-12,1.3145059999999988e-10,6.956137319999995e-10,
209995-38-0,3.1068e-08,7.047369999999995e-07,2.8313373199999968e-06,
674-13-5,2.82585e-08,5.970883999999999e-07,1.7227103599999982e-06,
356-47-8,9.232599999999999e-09,1.0842619999999998e-07,2.5530614799999955e-07,
1204298-70-3,2.7735999999999998e-08,5.679535999999998e-07,1.567012959999999e-06,
33831-83-3,1.2004e-08,1.3950839999999992e-07,3.3447172399999943e-07,
24279-39-8,6.714999999999999e-07,1.8154719999999995e-05,6.0474101199999976e-05,
3872-25-1,1.8736e-08,3.546007999999997e-07,1.458018719999999e-06,
63863-43-4,5.43815e-09,1.1800259999999997e-07,3.846026919999993e-07,
121-17-5,3.5582e-08,6.585801999999997e-07,2.549388719999997e-06,
79538-32-2,1.2167499999999998e-13,1.1262759999999993e-09,2.0268623199999987e-08,
916975-92-3,2.1059000000000003e-08,4.940107999999997e-07,2.023520039999998e-06,
73829-36-4,9.70475e-10,2.407725999999999e-08,7.301846239999988e-08,
2135-17-3,1.5746e-07,4.089963999999998e-06,1.7524321999999988e-05,
1691-99-2,3.7207499999999995e-12,1.0542679999999989e-10,4.149005119999993e-10,
678-26-2,8.25245e-09,9.627573999999999e-08,2.268631279999996e-07,
111493-74-4,2.18505e-08,3.729613999999995e-07,1.0426095199999998e-06,
720-94-5,2.5518000000000004e-08,5.833373999999995e-07,2.376415119999998e-06,
161462-35-7,2.26945e-08,6.657047999999999e-07,2.703521039999997e-06,
424-20-4,1.364e-12,4.6248179999999966e-11,2.756883039999996e-10,
27619-97-2,1.1721e-08,1.5771379999999997e-07,4.631834119999995e-07,
675-62-7,1.4868e-09,1.7017899999999975e-08,6.173703559999998e-08,
1696259-63-8,1.3747e-08,1.7400419999999996e-07,4.365766839999999e-07,
335-93-3,8.6343e-09,2.3640459999999993e-07,1.0295839919999992e-06,
52238-92-3,3.9127e-20,1.851685999999999e-18,9.73248559999998e-18,
65104-63-4,3.4095e-20,9.782603999999989e-19,3.640774399999998e-18,
375-73-5,2.3635e-08,4.516895999999997e-07,1.7796730799999986e-06,
68084-62-8,5.1817e-10,1.6188759999999997e-08,7.938581919999995e-08,
188416-20-8,2.04005e-08,3.363127999999999e-07,1.367756359999999e-06,
455-14-1,9.99015e-08,2.917722e-06,1.0338375919999995e-05,
59493-72-0,8.1753e-10,2.5116479999999992e-08,8.364895839999997e-08,
37893-02-0,0.0,6.9979219999999896e-12,1.0140826999999995e-10,
35367-38-5,3.9823000000000006e-22,4.541669999999997e-09,8.912879919999971e-08,
851725-98-9,2.2768500000000003e-08,5.678883999999997e-07,1.6478662799999977e-06,
141074-63-7,3.486e-13,1.1826379999999994e-11,7.08420223999999e-11,
40143-78-0,7.635350000000001e-09,2.1956979999999996e-07,9.58665895999999e-07,
338-84-1,3.2129e-15,1.2134399999999988e-13,5.826241399999995e-13,
788-41-0,9.5516e-09,1.1132679999999996e-07,2.650279239999995e-07,
382-28-5,2.75995e-09,3.071665999999999e-08,7.603046519999997e-08,
45048-62-2,2.52525e-08,5.000766e-07,1.4670959599999986e-06,
67485-29-4,9.57385e-09,2.467787999999999e-07,8.444977919999996e-07,
423-50-7,1.34895e-08,2.939205999999997e-07,8.365606679999982e-07,
17527-29-6,1.1671999999999999e-10,1.8775359999999993e-09,7.825499559999997e-09,
