# this contains the substances missing from this simulation 
#SUBSTANCE,NODE,RUN ORDER
1187-93-5,135,5
428-59-1,135,6
62037-80-3,135,7
908020-52-0,135,8
76-19-7,135,9
25628-08-4,135,17
383-63-1,135,24
56773-42-3,135,26
102687-65-0,135,36
145022-44-2,135,38
76-16-4,135,44
75-46-7,135,50
199119-58-9,135,51
79-38-9,135,52
79953-85-8,135,54
407-25-0,135,62
692-49-9,136,8
75-63-8,136,11
420-46-2,136,20
354-33-6,136,23
431-89-0,136,24
116-14-3,136,25
75-38-7,136,26
75-37-6,136,27
354-32-5,136,28
75-10-5,136,29
116-15-4,136,30
75-45-6,136,31
75-68-3,136,32
382-26-3,136,36
9002-84-0,138,28
1093074-15-7,138,38
63967-41-9 ,138,56
63967-40-8 ,138,57
15899-28-2,138,60
15899-32-8,138,62
1352319-02-8,139,30
685-63-2,139,31
115-25-3,139,34
75-73-0,139,35
359-11-5,139,38
10493-43-3,139,40
374-27-6,139,50
1334513-02-8,139,52
1383692-20-3,139,57
382-10-5,139,58
677-21-4,140,18
121451-05-6,140,19
125051-32-3,140,21
157627-98-0,140,22
108624-00-6,140,26
246871-16-9,140,29
577705-90-9,140,31
75-71-8,140,34
220689-12-3,140,35
2356-53-8,140,38
432-50-7,140,49
373-06-7,140,50
29081-56-9,140,58
251099-16-8,141,1
958445-44-8,141,17
10495-86-0,141,37
163702-08-7,142,6
335-42-2,142,18
773-14-8,142,33
355-25-9,142,41
67584-42-3,143,20
6130-43-4,144,40
