MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
2795-39-3,538.22,375.8,192.33,0.00033063901,0.5087382,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.32,-5.727112,-999,
1103234-56-5,279.26,402.29,190.135,1.12e-06,4.05,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,1.8298,-10.01953,97844.0,
2991-50-6,585.23,310.435,113.175,0.220655,4.1200001e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.485,-2.82187,-999,
1696259-82-1,745.127,313.05,96.65,0.026131,1.235e-09,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.89,5.315,-999,
21615-47-4,331.085,240.94,139.495,109.9984,7.469381,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.69,-6.892304,-999,
1939-27-1,231.218,314.125,100.88,0.017782353,0.3759655,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.975,-4.306049,-999,
135984-68-8,462.106,170.4,-6.74,204.0,1.7576202e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.72,3.506,-999,
68815-72-5,815.2,615.87,270.42,6.4499998e-19,6.53e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.595,-6.00173,-999,
376-14-7,639.32,318.69,96.825,0.006492781,2.47e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.855,-1.39017,-999,
338-65-8,100.5,31.03,-93.3445,81635.59,36.3078,-999,-999,-999,1.13e-07,1.13e-07,1.13e-07,1.24,0.4719313,22035.0,
126586-91-2,414.43,572.89,207.155,1.9599999e-10,0.00392,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,2.21,-14.791,165270.0,
1696259-78-5,645.111,285.41,77.11,0.179985,5.4999997e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.55,3.874,-999,
51851-37-7,510.367,216.465,8.76,17.84935,1.23e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.845,1.210998,-999,
69377-81-7,255.03,375.32,164.06,1.2954455e-05,3.226718,-999,-999,0.0,0.0,0.0,0.0,1.6752,-11.541,104930.0,
145701-23-1,360.3,482.315,223.09,2.8905498e-07,0.229,-999,-999,0.0,2.98e-09,2.98e-09,2.98e-09,1.43,-14.23917,167470.0,
130336-16-2,243.01,229.105,28.755,5.306413,0.1320974,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.65,-1.444203,-999,
2923-26-4,336.036,297.64,108.29,96.50004,21.66361,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,0.7,-2.732305,-999,
335-67-1,414.07,189.0,55.0,29.86413,7.800581,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.81,0.57,-999,
67906-42-7,617.17,319.255,120.825,0.314056,5.2199999e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.985,-5.839604,-999,
163702-06-5,264.091,56.625,-69.47501,46662.7,0.049982771,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.805,2.15263,-999,
73772-32-4,644.4,542.17,233.385,4.2300002e-17,0.2018932,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.025,-9.335088,-999,
2355-31-9,571.2,294.425,106.61,0.35735,1.37e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.93,-2.881986,-999,
678-26-2,288.036,29.15,-103.71,87325.91,0.001583135,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.4,4.168904,-999,
166524-65-8,160.13,206.65,34.1715,42.656,18.80847,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,1.31,-3.933811,67616.0,
993-95-3,250.064,30.61,-101.52,83059.61,0.076096997,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.26,1.605,-999,
1017183-70-8,200.64,245.25,30.129,4.3119,0.7585776,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,3.039,-3.1169,56398.0,
1868-86-6,463.118,188.0,164.0,7.719344,845.0,-999,-999,-999,-999,-999,-999,3.9,-3.90086,-999,
21049-39-8,486.06,400.12,165.94,3.8900002e-05,0.033761289,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.67,1.292,-999,
231285-86-2,222.167,242.295,63.135,3.886336,7.617693,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.95,-1.939445,-999,
37893-02-0,416.35,404.67,136.495,7.74e-05,1.19e-05,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,6.66,-7.1309,127310.0,
256473-05-9,251.27,278.6,51.9455,0.7998,0.086962231,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,3.545,-3.578175,67961.0,
958445-44-8,395.101,102.5,-8.5,1870.0,-999,-999,-999,-999,-999,-999,-999,1.3,-999,-999,
65150-94-9,974.082,296.945,74.385,0.060528189,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,12.71,4.544157,-999,
382-28-5,299.043,48.7,-67.9,42464.66,1.016911,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.37,0.7010436,-999,
1652-63-7,726.23,422.745,185.015,1.88e-08,3.4100001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.415,-6.212417,-999,
17527-29-6,418.15,199.99,-14.285,43.989,0.00078390498,-999,-999,-999,1.1e-07,1.1e-07,1.1e-07,5.56,1.592738,58159.0,
67584-57-0,511.25,288.16,73.47,0.053062156,2.2599999e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.595,-2.585205,-999,
75198-93-5,490.39,594.845,277.42,1.215e-06,0.0082700001,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.465,-14.05149,-999,
119083-00-0,194.113,267.46,90.08,0.43063,13.94033,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.295,-3.91752,-999,
375-95-1,464.078,218.0,45.0,10.78955,0.000134848,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.48,1.29,-999,
76201-56-4,650.47,568.965,236.305,3.9999999e-17,0.358,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,-1.83,-18.00186,170740.0,
559-11-5,404.127,140.98,-18.12,4570.5,0.00022248,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.2,1.900106,-999,
335-76-2,514.086,218.0,51.6,3.873157,1.5600001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.15,2.01,-999,
2927-83-5,232.029,45.99,-74.765,29197.52,14.50681,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.255,1.335035,-999,
375-01-9,200.056,92.3,-52.145,4411.485,15.59063,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,1.94,-0.064777315,-999,
39492-89-2,312.044,209.6,35.35,22.1,6.82665,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.94,-6.207,-999,
1623-05-8,266.038,29.47,-97.8,108124.1,0.2322563,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.45,2.619979,-999,
862374-87-6,663.102,286.54,82.11,0.151,1.275e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.16,4.173,-999,
68140-21-6,444.2,118.47,-26.47,2226.477,6.2665498e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.57,4.616,-999,
56734-81-7,362.09,128.94,-33.71,1400.0,0.001319036,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.38,2.065,-999,
65104-63-4,1074.097,321.52,91.05,0.014798742,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,14.28,4.879658,-999,
675868-33-4,530.129,216.72,35.315,2.091156,3.73e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.855,-1.755225,-999,
42532-60-5,195.04,63.97,-21.8375,22394.4,0.1949845,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,3.1,-1.676299,37732.0,
375-72-4,302.09,100.0,-19.28,78527.61,0.083878979,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.695,1.932785,-999,
171978-95-3,613.094,260.29,89.92,0.573,1.06e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.49,3.452,-999,
13846-22-5,344.056,96.14,-73.61501,8545.94,0.7973411,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,4.025,0.628894,-999,
27603-25-4,232.2,295.24,111.365,1.010701,340.1378,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,-0.253,-3.414689,-999,
372-31-6,184.114,138.0,-17.595,838.3118,87.17279,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,0.75,-2.749049,-999,
72372-80-6,278.118,85.28,-65.335,13045.56,0.012099,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.36,1.975569,-999,
22052-86-4,214.083,40.725,-70.91,72727.14,0.346501,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,3.095,1.845662,-999,
376-34-1,363.103,188.0,84.3,23.19803,291.0,-999,-999,-999,-999,-999,-999,4.23,-4.63826,-999,
133881-46-6,454.058,105.53,-51.725,6279.466,1.26e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.605,3.330083,-999,
19190-61-5,306.08,117.99,-56.47,2279.43,0.201,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,2.65,-0.88595,71292.0,
68555-72-6,421.23,267.93,76.655,0.0081726387,0.0084205782,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.045,-4.21755,-999,
67584-55-8,411.24,300.54,97.015,0.0013303,0.017378008,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,3.88,-3.253532,98495.0,
101463-69-8,488.77,497.03,242.98,3.7299999e-10,3.9800002e-06,1.8196852e-08,-999,1.3433781e-07,1.93e-08,1.93e-08,1.93e-08,5.925,-9.5437,132020.0,
38850-58-7,650.47,453.035,221.355,3.8799999e-17,0.029332636,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.965,-11.44504,-999,
34362-49-7,818.217,283.625,53.34,0.078260012,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.71,2.933617,-999,
70887-94-4,558.114,263.47,61.88,0.801,7.4550002e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.64,2.93,-999,
86404-63-9,223.183,317.11,106.0,0.029115129,19.66548,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,0.883,-5.035477,-999,
677-21-4,96.052,-17.65,-131.545,565143.5,20.34315,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.855,2.598843,-999,
39239-77-5,664.153,251.32,59.315,0.7399905,1.9e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.345,0.3550546,-999,
374-27-6,146.06,3.94,-116.01,366156.9,1.316582,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.815,3.01056,-999,
862574-88-7,242.18,331.09,124.695,0.00326585,3.078991,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,2.4,-8.189754,27739.0,
2806-16-8,638.23,383.58,142.98,0.3140003,0.000100638,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.615,-4.455208,-999,
