MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
2795-39-3,538.2200,375.8000,192.3300,3.3063901E-04,0.5087382,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.320000,-5.727112,-999,
1103234-56-5,279.2600,402.2900,190.1350,1.1200000E-06,4.050000,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,1.829800,-10.01953,97844.00,
2991-50-6,585.2300,310.4350,113.1750,0.2206550,4.1200001E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.485000,-2.821870,-999,
1696259-82-1,745.1270,313.0500,96.65000,2.6131000E-02,1.2350000E-09,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.890000,5.315000,-999,
21615-47-4,331.0850,240.9400,139.4950,109.9984,7.469381,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.690000,-6.892304,-999,
1939-27-1,231.2180,314.1250,100.8800,1.7782353E-02,0.3759655,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,2.975000,-4.306049,-999,
135984-68-8,462.1060,170.4000,-6.740000,204.0000,1.7576202E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.720000,3.506000,-999,
68815-72-5,815.2000,615.8700,270.4200,6.4499998E-19,6.5300000E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.595000,-6.001730,-999,
376-14-7,639.3200,318.6900,96.82500,6.4927810E-03,2.4700000E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.855000,-1.390170,-999,
338-65-8,100.5000,31.03000,-93.34450,81635.59,36.30780,-999,-999,-999,1.1300000E-07,1.1300000E-07,1.1300000E-07,1.240000,0.4719313,22035.00,
126586-91-2,414.4300,572.8900,207.1550,1.9599999E-10,3.9200000E-03,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,2.210000,-14.79100,165270.0,
1696259-78-5,645.1110,285.4100,77.11000,0.1799850,5.4999997E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.550000,3.874000,-999,
