,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9000284,    0.59433E-09,    0.18164E-08,
   9000286,    0.30022E-08,    0.96017E-08,
   9000812,    0.19275E-08,    0.10215E-08,
   9000815,    0.65972E-08,    0.47417E-08,
   9000851,    0.15926E-08,    0.68538E-08,
   9000852,    0.56783E-09,    0.24206E-08,
   9000854,    0.69752E-09,    0.18098E-08,
   9000976,    0.47696E-09,    0.66155E-09,
   9001235,    0.11916E-09,    0.23453E-09,
   9500211,    0.93245E-10,    0.12783E-09,
   9500217,    0.13475E-09,    0.17343E-09,
   9500233,    0.58412E-09,    0.84926E-09,
   9500236,    0.15721E-09,    0.25683E-09,
   9500239,    0.32626E-08,    0.98030E-08,
   9500242,    0.16287E-08,    0.59048E-08,
   9500243,    0.43650E-08,    0.35339E-08,
   9500245,    0.39768E-09,    0.62676E-09,
   9500247,    0.15024E-08,    0.23182E-08,
   9500248,    0.51547E-09,    0.25366E-08,
   9500256,    0.30413E-09,    0.44799E-09,
   9500266,    0.76606E-08,    0.66219E-08,
   9500267,    0.15584E-10,    0.30746E-10,
   9500268,    0.57474E-09,    0.13073E-08,
   9500269,    0.21716E-09,    0.36378E-09,
   9500272,    0.12396E-09,    0.16932E-09,
   9500273,    0.96015E-10,    0.76087E-10,
   9500274,    0.36883E-10,    0.28972E-10,
   9500275,    0.21085E-11,    0.55720E-11,
   9500278,    0.17967E-08,    0.55539E-08,
   9500279,    0.44462E-09,    0.41292E-09,
   9500280,    0.34045E-09,    0.52891E-09,
   9500281,    0.15626E-08,    0.45859E-08,
   9500282,    0.55754E-09,    0.14812E-08,
   9500285,    0.43076E-09,    0.12716E-08,
   9500291,    0.55689E-09,    0.14895E-08,
   9500296,    0.18695E-09,    0.76713E-09,
   9500320,    0.24129E-09,    0.86002E-09,
   9500414,    0.14029E-09,    0.30718E-09,
   9500416,    0.19575E-07,    0.91732E-07,
   9500417,    0.12033E-08,    0.31642E-08,
   9500426,    0.35358E-10,    0.54767E-10,
   9500853,    0.81945E-10,    0.14279E-09,
   9502855,    0.24997E-08,    0.38046E-08,
   9502868,    0.23930E-09,    0.41448E-09,
   9502870,    0.24070E-09,    0.31653E-09,
   9502877,    0.32352E-09,    0.45361E-09,
   9502914,    0.54190E-09,    0.86469E-09,
   9502917,    0.46460E-09,    0.47691E-09,
   9502933,    0.34022E-09,    0.29805E-09,
   9502953,    0.43596E-09,    0.66057E-09,
   9502955,    0.10982E-09,    0.22058E-09,
   9502957,    0.97258E-09,    0.16298E-08,
   9502959,    0.24677E-09,    0.37581E-09,
   9502967,    0.23190E-09,    0.33033E-09,
   9502978,    0.39371E-09,    0.29913E-09,
   9503015,    0.28323E-09,    0.47637E-09,
   9503019,    0.26367E-09,    0.32184E-09,
   9503057,    0.28133E-09,    0.51370E-09,
   9503075,    0.11992E-08,    0.19077E-08,
   9503077,    0.14613E-09,    0.23873E-09,
   9503079,    0.40110E-09,    0.63090E-09,
   9503128,    0.22275E-08,    0.36700E-08,
   9503130,    0.39694E-09,    0.45727E-09,
   9503140,    0.44122E-09,    0.83048E-09,
   9503145,    0.14645E-09,    0.22181E-09,
   9503172,    0.11782E-09,    0.24735E-09,
   9503183,    0.24166E-08,    0.37384E-08,
   9503196,    0.20952E-09,    0.33655E-09,
   9503259,    0.16450E-09,    0.20792E-09,
   9503261,    0.65229E-09,    0.91511E-09,
   9503269,    0.26475E-09,    0.39617E-09,
   9503339,    0.10383E-08,    0.14708E-08,
   9503391,    0.28502E-08,    0.13431E-07,
   9503410,    0.15052E-08,    0.23234E-08,
   9503419,    0.89167E-08,    0.92288E-08,
   9503423,    0.21397E-08,    0.61605E-08,
   9503432,    0.21489E-08,    0.36986E-08,
   9503433,    0.10706E-07,    0.16325E-07,
   9503435,    0.24490E-08,    0.91637E-08,
   9503515,    0.56169E-08,    0.73171E-08,
   9503560,    0.34266E-09,    0.52431E-09,
   9503713,    0.27142E-08,    0.95683E-08,
   9503733,    0.14377E-08,    0.19885E-08,
   9503756,    0.43800E-09,    0.76149E-09,
   9503807,    0.32425E-09,    0.59236E-09,
   9503839,    0.29268E-09,    0.46987E-09,
   9503971,    0.53790E-09,    0.10757E-08,
   9504120,    0.54220E-10,    0.87088E-10,
   9504157,    0.80624E-09,    0.14261E-08,
   9504158,    0.40878E-09,    0.40358E-09,
   9504193,    0.28394E-09,    0.59554E-09,
   9504221,    0.22298E-09,    0.41973E-09,
   9504289,    0.13290E-09,    0.12493E-09,
   9504332,    0.10132E-09,    0.95844E-10,
   9504367,    0.39044E-09,    0.34698E-09,
   9504375,    0.21680E-09,    0.19387E-09,
   9504406,    0.32586E-09,    0.46721E-09,
   9504414,    0.11009E-09,    0.11676E-09,
   9504466,    0.14864E-09,    0.11985E-09,
   9504496,    0.29632E-09,    0.46304E-09,
   9504525,    0.21170E-09,    0.19003E-09,
   9504549,    0.75921E-10,    0.83969E-10,
   9504559,    0.24244E-09,    0.38193E-09,
   9504570,    0.11350E-09,    0.11539E-09,
   9504633,    0.30428E-09,    0.43517E-09,
   9504663,    0.24090E-09,    0.16091E-09,
   9504683,    0.12167E-09,    0.12797E-09,
   9504703,    0.18575E-09,    0.40097E-09,
   9507390,    0.18898E-08,    0.28219E-08,
   9508545,    0.57131E-08,    0.85738E-08,
   9508684,    0.79047E-08,    0.12546E-07,
   9516947,    0.49314E-08,    0.48998E-08,
   9516981,    0.50009E-09,    0.85422E-09,
   9517001,    0.11026E-08,    0.17286E-08,
   9517019,    0.51143E-09,    0.87636E-09,
   9517023,    0.10866E-08,    0.11117E-08,
   9517037,    0.75181E-09,    0.74722E-09,
   9517056,    0.94493E-08,    0.88200E-08,
   9517064,    0.15008E-08,    0.26091E-08,
   9517071,    0.46498E-09,    0.79585E-09,
   9517106,    0.49594E-09,    0.57980E-09,
   9517115,    0.16268E-08,    0.25180E-08,
   9517146,    0.38695E-08,    0.60685E-08,
   9517150,    0.46619E-09,    0.70055E-09,
   9517159,    0.91649E-09,    0.91595E-09,
   9517169,    0.83194E-09,    0.12849E-08,
   9517171,    0.56321E-09,    0.68155E-09,
   9517176,    0.77527E-09,    0.13844E-08,
   9517190,    0.17747E-08,    0.30508E-08,
   9517216,    0.36028E-08,    0.53720E-08,
   9517224,    0.62250E-09,    0.10497E-08,
   9517231,    0.68166E-09,    0.25335E-08,
   9517232,    0.76392E-09,    0.12387E-08,
   9517236,    0.54714E-09,    0.64154E-09,
   9517249,    0.98049E-09,    0.18797E-08,
   9517251,    0.13356E-08,    0.15047E-08,
   9517269,    0.46567E-09,    0.63296E-09,
   9517303,    0.15688E-08,    0.20108E-08,
   9517306,    0.90424E-09,    0.23347E-08,
   9517335,    0.10935E-08,    0.16761E-08,
   9517353,    0.67591E-09,    0.12646E-08,
   9517376,    0.49539E-09,    0.83165E-09,
   9517377,    0.70661E-09,    0.26546E-08,
   9517380,    0.30640E-09,    0.44395E-09,
   9517383,    0.47672E-09,    0.78885E-09,
   9517388,    0.12861E-08,    0.13023E-08,
   9517411,    0.44009E-09,    0.76218E-09,
   9517415,    0.90472E-09,    0.14797E-08,
   9517422,    0.22656E-07,    0.41380E-07,
   9517432,    0.26528E-09,    0.49751E-09,
   9517435,    0.10303E-08,    0.28290E-08,
   9517446,    0.60753E-09,    0.84107E-09,
   9517457,    0.18269E-08,    0.21990E-08,
   9517459,    0.36007E-08,    0.83186E-08,
   9517460,    0.67247E-08,    0.36351E-07,
   9517471,    0.69743E-08,    0.35851E-07,
   9517477,    0.13813E-08,    0.15379E-08,
   9517481,    0.23665E-08,    0.18284E-07,
   9517496,    0.10142E-08,    0.14543E-08,
   9517498,    0.44585E-07,    0.65518E-07,
   9517510,    0.18329E-07,    0.91178E-07,
   9517518,    0.17330E-08,    0.26593E-08,
   9517522,    0.70525E-07,    0.88806E-07,
   9517525,    0.81305E-09,    0.27511E-08,
   9517526,    0.43547E-09,    0.93485E-09,
   9517543,    0.23693E-08,    0.62698E-08,
   9517548,    0.11294E-08,    0.29327E-08,
   9517551,    0.15289E-07,    0.37156E-07,
   9517556,    0.16861E-08,    0.18421E-08,
   9517587,    0.27176E-08,    0.23223E-07,
   9517601,    0.31782E-07,    0.79595E-07,
   9517610,    0.12831E-08,    0.41372E-08,
   9517614,    0.21745E-08,    0.19321E-08,
   9517616,    0.55408E-09,    0.82868E-09,
   9517624,    0.18489E-08,    0.32992E-08,
   9517627,    0.12972E-06,    0.14993E-06,
   9517661,    0.28654E-07,    0.90782E-07,
   9517673,    0.55281E-09,    0.16728E-08,
   9517677,    0.19489E-07,    0.83602E-07,
   9517681,    0.37522E-09,    0.81580E-09,
   9517682,    0.23326E-07,    0.58423E-07,
   9517683,    0.62359E-09,    0.17165E-08,
   9517710,    0.20366E-07,    0.78695E-07,
   9517712,    0.33391E-09,    0.68537E-09,
   9517715,    0.20521E-08,    0.30640E-08,
   9517724,    0.20698E-08,    0.54239E-08,
   9517726,    0.41907E-08,    0.13367E-07,
   9517730,    0.11151E-08,    0.29633E-08,
   9517737,    0.34361E-08,    0.23122E-07,
   9517744,    0.69498E-09,    0.12419E-08,
   9517746,    0.23313E-08,    0.40203E-07,
   9517764,    0.49701E-09,    0.85993E-09,
   9517775,    0.26960E-08,    0.37452E-07,
   9517776,    0.12285E-07,    0.71908E-08,
   9517782,    0.62687E-09,    0.11696E-08,
   9517787,    0.55704E-09,    0.13267E-08,
   9517788,    0.51950E-09,    0.12895E-08,
   9517790,    0.25727E-07,    0.12174E-06,
   9517793,    0.69700E-08,    0.72981E-07,
   9517803,    0.18719E-08,    0.35890E-08,
   9517810,    0.24794E-09,    0.58862E-09,
   9517822,    0.22783E-07,    0.97844E-07,
   9517848,    0.17527E-08,    0.25613E-08,
   9517850,    0.43078E-08,    0.31071E-08,
   9517857,    0.11933E-08,    0.24732E-08,
   9517860,    0.95485E-07,    0.11615E-06,
   9517876,    0.55441E-08,    0.66470E-08,
   9517883,    0.39902E-09,    0.58074E-09,
   9517895,    0.80581E-08,    0.63171E-07,
   9517898,    0.13604E-07,    0.74423E-08,
   9517899,    0.40411E-08,    0.10593E-07,
   9517909,    0.34414E-08,    0.46171E-08,
   9517915,    0.24762E-07,    0.11697E-07,
   9517929,    0.15423E-08,    0.42720E-08,
   9517942,    0.28638E-09,    0.41363E-09,
   9517956,    0.34858E-09,    0.48031E-09,
   9517961,    0.48327E-09,    0.13706E-08,
   9517963,    0.80240E-09,    0.24292E-08,
   9517965,    0.33761E-08,    0.25825E-07,
   9517985,    0.26742E-09,    0.46453E-09,
   9518010,    0.54069E-09,    0.38396E-09,
   9518025,    0.24261E-08,    0.52377E-08,
   9518030,    0.11780E-08,    0.30383E-08,
   9518036,    0.10881E-09,    0.13698E-09,
   9518052,    0.32257E-08,    0.11335E-08,
   9518054,    0.20730E-07,    0.30852E-07,
   9518062,    0.69433E-08,    0.68063E-08,
   9518073,    0.61049E-08,    0.28815E-08,
   9518082,    0.76811E-09,    0.17843E-08,
   9518086,    0.21058E-09,    0.53461E-09,
   9518092,    0.77173E-09,    0.26065E-08,
   9518101,    0.14264E-08,    0.29613E-08,
