,2012/12/31_Cdis,2013/12/31_Cdis,
   9000284,    0.95882E-13,    0.59584E-13,
   9000286,    0.22928E-12,    0.98719E-13,
   9000812,    0.20033E-09,    0.24816E-09,
   9000815,    0.11610E-11,    0.23333E-12,
   9000851,    0.91139E-13,    0.28613E-13,
   9000852,    0.76221E-13,    0.28754E-13,
   9000854,    0.34827E-13,    0.48835E-13,
   9000976,    0.52051E-13,    0.25483E-13,
   9001235,    0.17008E-11,    0.10285E-11,
   9500211,    0.17663E-12,    0.59159E-13,
   9500217,    0.16400E-09,    0.27731E-09,
   9500233,    0.46576E-12,    0.17746E-12,
   9500236,    0.79930E-18,    0.13971E-18,
   9500239,    0.13271E-12,    0.10991E-12,
   9500242,    0.28326E-12,    0.15579E-12,
   9500243,    0.48285E-13,    0.41992E-13,
   9500245,    0.62699E-12,    0.38454E-12,
   9500247,    0.33786E-13,    0.32356E-13,
   9500248,    0.55202E-12,    0.22657E-12,
   9500256,    0.51701E-13,    0.80849E-14,
   9500266,    0.14512E-12,    0.16977E-12,
   9500267,    0.91695E-14,    0.95527E-14,
   9500268,    0.80088E-20,    0.10006E-18,
   9500269,    0.57444E-12,    0.13297E-11,
   9500272,    0.37961E-19,    0.16252E-18,
   9500273,    0.20658E-20,    0.94287E-19,
   9500274,    0.27836E-19,    0.93645E-19,
   9500275,    0.71554E-18,    0.66681E-17,
   9500278,    0.50121E-13,    0.32809E-14,
   9500279,    0.94136E-13,    0.71496E-13,
   9500280,    0.13611E-12,    0.31496E-13,
   9500281,    0.60295E-13,    0.18645E-13,
   9500282,    0.12157E-12,    0.46998E-12,
   9500285,    0.78567E-13,    0.89869E-14,
   9500291,    0.26874E-12,    0.11050E-12,
   9500296,    0.33636E-13,    0.47403E-14,
   9500320,    0.20493E-19,    0.94396E-19,
   9500414,    0.11720E-13,    0.14198E-13,
   9500416,    0.38795E-13,    0.42811E-11,
   9500417,    0.10783E-12,    0.10307E-13,
   9500426,    0.82510E-13,    0.10713E-12,
   9500853,    0.32243E-12,    0.16051E-12,
   9502855,    0.19990E-11,    0.10986E-11,
   9502868,    0.14802E-11,    0.82266E-12,
   9502870,    0.12015E-13,    0.43043E-14,
   9502877,    0.17249E-13,    0.13811E-13,
   9502914,    0.14595E-13,    0.53866E-14,
   9502917,    0.15025E-12,    0.15739E-12,
   9502933,    0.18723E-12,    0.14847E-12,
   9502953,    0.16724E-09,    0.31468E-09,
   9502955,    0.73538E-12,    0.31689E-12,
   9502957,    0.46672E-12,    0.38036E-12,
   9502959,    0.76207E-14,    0.33091E-14,
   9502967,    0.30999E-13,    0.14982E-13,
   9502978,    0.61441E-10,    0.43152E-10,
   9503015,    0.75061E-14,    0.40586E-14,
   9503019,    0.17953E-12,    0.10171E-12,
   9503057,    0.13603E-13,    0.57662E-14,
   9503075,    0.67463E-11,    0.13169E-10,
   9503077,    0.13510E-13,    0.57896E-14,
   9503079,    0.39025E-12,    0.20133E-12,
   9503128,    0.68936E-12,    0.47743E-12,
   9503130,    0.25934E-12,    0.83100E-13,
   9503140,    0.12359E-13,    0.58757E-14,
   9503145,    0.31569E-13,    0.26410E-13,
   9503172,    0.74969E-13,    0.22735E-13,
   9503183,    0.31873E-12,    0.14092E-12,
   9503196,    0.27466E-12,    0.75525E-13,
   9503259,    0.15241E-11,    0.20950E-11,
   9503261,    0.35227E-12,    0.17457E-12,
   9503269,    0.74338E-14,    0.28039E-14,
   9503339,    0.52641E-13,    0.34633E-13,
   9503391,    0.84151E-13,    0.35161E-13,
   9503410,    0.62269E-12,    0.10988E-11,
   9503419,    0.25122E-12,    0.89992E-13,
   9503423,    0.52617E-13,    0.14274E-13,
   9503432,    0.12018E-13,    0.40478E-14,
   9503433,    0.11811E-12,    0.92834E-13,
   9503435,    0.25422E-12,    0.25087E-11,
   9503515,    0.92662E-13,    0.73236E-13,
   9503560,    0.30849E-13,    0.12725E-13,
   9503713,    0.70104E-13,    0.14230E-13,
   9503733,    0.87315E-12,    0.93923E-12,
   9503756,    0.35245E-12,    0.22010E-12,
   9503807,    0.44759E-12,    0.31612E-12,
   9503839,    0.75921E-11,    0.33637E-10,
   9503971,    0.17791E-14,    0.90209E-15,
   9504120,    0.74075E-19,    0.13975E-18,
   9504157,    0.10725E-11,    0.44959E-12,
   9504158,    0.15380E-11,    0.36497E-12,
   9504193,    0.41828E-12,    0.33438E-12,
   9504221,    0.42461E-12,    0.25116E-12,
   9504289,    0.14810E-13,    0.14888E-13,
   9504332,    0.33407E-12,    0.78710E-12,
   9504367,    0.93482E-13,    0.12596E-12,
   9504375,    0.74274E-13,    0.10959E-12,
   9504406,    0.43863E-12,    0.83059E-13,
   9504414,    0.29398E-12,    0.60926E-12,
   9504466,    0.22885E-12,    0.14855E-12,
   9504496,    0.21401E-12,    0.70962E-13,
   9504525,    0.15872E-09,    0.19103E-09,
   9504549,    0.51189E-13,    0.83801E-13,
   9504559,    0.23442E-12,    0.70336E-13,
   9504570,    0.13931E-10,    0.34574E-10,
   9504633,    0.20123E-12,    0.99213E-13,
   9504663,    0.24747E-12,    0.21851E-12,
   9504683,    0.91985E-13,    0.11077E-12,
   9504703,    0.33733E-12,    0.15014E-12,
   9507390,    0.69427E-11,    0.10053E-10,
   9508545,    0.25616E-11,    0.18060E-11,
   9508684,    0.92039E-12,    0.44420E-12,
   9516947,    0.56204E-13,    0.41994E-13,
   9516981,    0.22936E-13,    0.11032E-13,
   9517001,    0.51613E-13,    0.26501E-13,
   9517019,    0.95545E-14,    0.47032E-14,
   9517023,    0.26376E-13,    0.15969E-13,
   9517037,    0.25531E-13,    0.22259E-13,
   9517056,    0.12830E-12,    0.42505E-13,
   9517064,    0.71547E-13,    0.46643E-14,
   9517071,    0.28856E-13,    0.48035E-14,
