CAS;-;-
Name;-;-
SMILES;-;-
MolMass;molecular weight;1
Delho;-;1
bp;Boiling point;1
mp;Mean melting point;1
pv;Vapor pressure;1
ks;Water solubility;1000
tos;-;1
Delhs;-;1
pka1;pKa1;1
toa1;-;1
Delha1;-;1
pka2;pKa2;1
toa2;-;1
Delha2;-;1
pkb1;pKb1;1
tob1;-;1
Delhb1;-;1
pkb2;pKb2;1
tob2;-;1
Delhb2;-;1
kac;HL acid hydrolysis [h] at pH 7;-3600
toac;-;1
Delhac;-;1
kba;HL basic hydrolysis [h] at pH 7;-3600
toba;-;1
Delhba;-;1
kn;HL neutral hydrolysis [h];-3600
ton;-;1
Delhn;-;1
kp;-;1
top;-;1
Delhp;-;1
kds;HL in sed;-3600
tods;-;-
kde;HL in soil;-3600
tode;-;-
kdw;HL in water;-3600
todw;-;-
kow0;log Kow;-
kaw0;log Kaw;-
koa0;Koa;-
dhow;-;-
dhaw;deltaH (air/water);-
dhoa;-;-
X1water;-;-
X1soil;-;-
X1sedim;-;-
X2water;-;-
X2soil;-;-
X2sedim;-;-
