CAS,Degredation rate in sediment,Degredation rate in soil,Degredation rate in water,Koc,Vapor pressure,Water solubility,log Kow,pka1,pka2,pkb1,pkb2
111988-49-9,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.000150629,0.00138038426384,1.55,-9999,-9999,7.02,14.58
120068-37-3,3.50074292929e-08,1.13259330065e-07,1.13259330065e-07,-9999,5.0654e-10,8.56e-07,3.7821,-9999,-9999,-9999,-9999
122-34-9,1.13259330065e-07,3.50074292929e-07,1.13259330065e-07,-9999,0.001223694,0.000223872113849,2.285,-9999,-9999,12.3,-9999
15545-48-9,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.001178372,0.0010967180741,2.47,13.97,-9999,14.97,-9999
1689-84-5,1.13259330065e-06,3.50074292929e-06,1.13259330065e-05,-9999,0.0004574165,0.000431769761312,3.045,4.2,-9999,-9999,-9999
1698-60-8,3.50074292929e-07,1.13259330065e-06,1.13259330065e-06,-9999,0.000149296,0.000933904804873,0.94,-9999,-9999,10.71,-9999
188425-85-6,3.50074292929e-08,3.50074292929e-08,1.13259330065e-07,-9999,2.0992185e-08,8.12830514845e-06,4.5,13.3,-9999,14.8,-9999
2642-71-9,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,2.870242e-05,1.73780082807e-05,3.575,-9999,-9999,14.4,-9999
333-41-5,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,0.016178595,2.12e-05,3.81,-9999,-9999,12.4,-9999
34123-59-6,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.001049071,0.000697,2.475,14.3,-9999,13.9,-9999
51218-45-2,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.0035757,0.000781606765328,3.23,-9999,-9999,15.49,-9999
52888-80-9,3.50074292929e-08,3.50074292929e-07,3.50074292929e-07,-9999,0.0069183,5.59887028124e-05,4.12,-9999,-9999,14.6,-9999
5915-41-3,3.50074292929e-08,1.13259330065e-07,1.13259330065e-07,-9999,0.0014241,9.77237219223e-05,2.995,-9999,-9999,12.3,-9999
63-25-2,3.50074292929e-08,1.13259330065e-07,1.13259330065e-06,-9999,0.00710489,0.000575439939373,2.42,12.2,-9999,-9999,-9999
67129-08-2,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.000153295,0.000902,2.305,-9999,-9999,13.6,-9999
7287-19-6,3.50074292929e-08,1.13259330065e-07,1.13259330065e-07,-9999,0.00037874,0.00011,3.42,-9999,-9999,9.9,15.46
886-50-0,3.50074292929e-08,1.13259330065e-07,1.13259330065e-07,-9999,0.00029952,7e-05,3.395,-9999,-9999,9.9,15.46
93-65-2,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,0.041096,0.00227668297228,2.955,3.05,-9999,-9999,-9999
94-75-7,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,0.00371907,0.00224045421643,2.72,2.97,-9999,-9999,-9999
25057-89-0,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,0.0001944674,0.00630957345597,1.86,2.9,-9999,-9999,-9999
10605-21-7,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,7.25152e-07,0.00528270307024,1.535,10.0,-9999,9.5,-9999
58-89-9,3.50074292929e-09,1.13259330065e-08,3.50074292929e-08,-9999,0.015521,2.15723962452e-05,3.88835,-9999,-9999,-9999,-9999
