#	Cas#	Chem. Name	Smiles	Quantity	log Kow	Molecular weight	Water solubility (FR)	Mixture/Salt	Microbial toxicity_NEW	Map reliability	BOD_Observed	BOD	±_BOD	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by BOD	Parameter ranges	Structural domain				Unable to mineralize	Total Domain	Remark
																		Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain			
1	15972-60-8	Alachlor	CCc1cccc(CC)c1N(COC)C(=O)CCl	9.817E-005	3.3677	269.7560	444.6175	 	 Aromatic amine suspected BOD inhibition effect	0.0482	No data	0.15	0.01	2.10 days	4m 3d	 	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain	 
2	120-12-7	Anthracene	c1cccc2cc3ccccc3cc12	0.9692	4.3450	178.2190	0.9589	 	 Naphtalene suspected inhibition effect	0.1591	 0.0190	0.01	0.01	1y 8m 12d	5y 3m 0d	2y 9m 8d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
3	1912-24-9	Atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	0.9624	2.8175	215.6786	44.9950	 	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	0.1654	 10.00E-3	0.00	0.02	1y 4m 21d	more than 10 years	5y 3m 15d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
4	71-43-2	Benzene	c1ccccc1	0.9469	1.9930	78.1074	1338.9581	 	 (N/A)	0.2222	 0.400	0.05	0.06	11m 22d	11m 22d	1m 6d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
5	93703-48-1	3,3',4,4'-Tetrabromodiphenyl ether	Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br	0.9573	7.6093	485.8065	0.0542	 	 Aryl halide suspected BOD inhibition effect	0.2956	No data	0.00	0.02	1y 2m 20d	more than 10 years	 	In domain	42.86%	0.00%	57.14%	Out of domain	In domain	Out of Domain	 
6	32534-81-9	1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene	Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	0.8733	7.6597	564.7086	0.0107	 	 Aryl halide suspected BOD inhibition effect	0.1437	No data	0.00	0.02	4m 23d	more than 10 years	 	In domain	75.00%	0.00%	25.00%	Out of domain	In domain	Out of Domain	 
7	36483-60-0	1,2,3-tribromo-4-(2,3,5-tribromophenoxy)benzene	Brc1ccc(Oc2cc(Br)cc(Br)c2Br)c(Br)c1Br	0.8569	8.5497	643.6107	0.002070	 	 Aryl halide suspected BOD inhibition effect	0.1761	No data	0.01	0.03	4m 5d	more than 10 years	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
8	68928-80-3	1,2,3,4,5-pentabromo-6-(2,3-dibromophenoxy)benzene	Brc1cccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c1Br	0.766	9.4397	722.5128	0.000394	 	 Aryl halide suspected BOD inhibition effect	0.1384	No data	0.00	0.03	2m 13d	more than 10 years	 	In domain	60.00%	0.00%	40.00%	Out of domain	In domain	Out of Domain	 
9	470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	0.7934	4.1458	359.5596	19.7833	 	 Aryl halide suspected BOD inhibition effect	0.0354	No data	0.04	0.05	2m 24d	1y 5m 14d	 	In domain	73.33%	0.00%	26.67%	Out of domain	In domain	Out of Domain	 
10	2921-88-2	Chlorpyrifos (Chlorpyrifos-ethyl)	CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)c(Cl)n1	1E-005	4.6582	350.5779	11.0109	 	 Pyridine suspected BOD inhibition effect	0.1289	 2.00E-3	0.05	0.02	1.69 days	1y 0m 11d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
11	107-06-2	1,2-dichloroethane	ClCCCl	0.9539	1.8316	98.9576	3946.7532	 	 (N/A)	0.5926	0.000	0.03	0.03	1y 1m 15d	1y 6m 29d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
12	75-09-2	Dichloromethane	ClCCl	0.9539	1.3405	84.9318	11664.7539	 	 (N/A)	0.7619	 0.155	0.05	0.05	1y 1m 15d	1y 1m 15d	3m 25d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
13	117-81-7	Di(2-ethylhexyl)phthalate (DEHP)	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	0.009352	8.3918	390.5361	0.001278	 	 Alkane, branched tertiary carbon suspected BOD inhibition effect	0.0107	No data	0.61	0.07	4.15 days	20.42 days	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
