No	CAS	Name	SMILES	Biodeg probability (Biowin 5)	Biodeg probability (Biowin 5)(min)	Biodeg probability (Biowin 5)(max)	Biodeg probability (Biowin 5)(Unit)
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	0.496	<no data>	<no data>	
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	0.5025	<no data>	<no data>	
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	0.4914	<no data>	<no data>	
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	0.1912	<no data>	<no data>	
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	0.1761	<no data>	<no data>	
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	0.2945	<no data>	<no data>	
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	-0.0079	<no data>	<no data>	
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	0.178	<no data>	<no data>	
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	-0.0574	<no data>	<no data>	
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	-0.0471	<no data>	<no data>	
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	0.0982	<no data>	<no data>	
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	0.1934	<no data>	<no data>	
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	0.094	<no data>	<no data>	
