No	CAS	Name	SMILES	Map reliability	BOD_Observed	BOD	±_BOD	Excess BOD	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	N/A	No data	0.49	0.02	0.49	In domain	52.17%	4.35%	43.48%	Out of domain	In domain	Out of Domain	 
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	0.0246	No data	0.01	0.02	0.0079	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	0.136	No data	0.08	0.02	0.079	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	0.1566	No data	0.01	0.01	0.013	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	0.0784	6.67E-03	0.01	0.01	0.014	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	N/A	No data	0.32	0.02	0.32	In domain	52.63%	0.00%	47.37%	Out of domain	In domain	Out of Domain	 
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	N/A	No data	0.1	0.09	0.1	In domain	10.00%	0.00%	90.00%	Out of domain	In domain	Out of Domain	 
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	0.176	No data	0.36	0.03	0.36	In domain	15.38%	0.00%	84.62%	Out of domain	In domain	Out of Domain	 
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	0.0079	No data	0.2	0.04	0.2	In domain	88.24%	0.00%	11.76%	Out of domain	In domain	Out of Domain	 
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	0.3037	No data	0.09	0.11	0.095	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	0.0124	No data	0.27	0.03	0.27	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	0.0231	No data	0.01	0.02	0.0058	In domain	87.50%	0.00%	12.50%	Out of domain	In domain	Out of Domain	 
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	0.0195	No data	0	0	0.0046	In domain	63.64%	0.00%	36.36%	Out of domain	In domain	Out of Domain	 
14	80-73-9	1,3-Dimethyl-2-imidazolidinon	CN1CCN(C)C1=O	0.1305	No data	0.02	0.07	0.024	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
15	N/A	1-/4-Hydroxy-Benzotriazol	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1	 												 
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	N/A	No data	0.1	0.03	0.098	In domain	82.35%	0.00%	17.65%	Out of domain	In domain	Out of Domain	 
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	0.0393	No data	0.22	0.12	0.22	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
18	114248-23-6	2',2'-Difluorodeoxyuridin	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	N/A	No data	0.47	0.06	0.47	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
