#	CAS RN	NAME	SMILES	Daphnia magna EC50 48h										
				Daphnia magna-48h EC50 mode of action	Daphnia magna-48h EC50_Observed	Daphnia magna-48h EC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h EC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
1	161599-46-8	"2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin"	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	Reactive unspecified	no data	<=27248.2676	from 8813.425 to 84242.859	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2	60397-77-5	"2,4-dimethylphenylformamid"	Cc1ccc(NC=O)c(C)c1	Reactive unspecified	no data	<=54.7452	from 34.245 to 87.517	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3	1668-54-8	"2-Amino-4-methoxy-6-methyl-1,3,5 triazin"	Cc1nc(N)nc(OC)n1	Reactive unspecified	no data	<=417.4859	from 235.201 to 741.044	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	Reactive unspecified	no data	<=903.6601	from 463.596 to 1761.452	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	phenols and anilines	no data	10.0587	from  6.433 to 15.729	In domain	20.00%	0.00%	80.00%	Out of domain	44.45%	Out of Domain
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	Reactive unspecified	no data	<=1.9207*	from  0.828 to  4.456	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=33.9147	from 19.126 to 60.138	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	Reactive unspecified	no data	<=30209.1113	from 7580.978 to 120378.984	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	Reactive unspecified	no data	<=66.3466	from 40.535 to 108.595	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	Reactive unspecified	no data	<=48942.5508	from 11108.259 to 215638.938	N/A	N/A	N/A	N/A	N/A	N/A	N/A
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	Reactive unspecified	no data	<=57995.9336	from 17898.475 to 187922.672	N/A	N/A	N/A	N/A	N/A	N/A	N/A
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	basesurface narcotics	no data	81.4555	from 51.897 to 127.849	Out of domain	12.50%	0.00%	87.50%	Out of domain	93.70%	Out of Domain
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	Reactive unspecified	no data	<=828.7038*	from 184.332 to 3725.604	N/A	N/A	N/A	N/A	N/A	N/A	N/A
14	80-73-9	"1,3-Dimethyl-2-imidazolidinon"	CN1CCN(C)C1=O	basesurface narcotics	no data	14055.2471	from 5927.674 to 33326.727	In domain	0.00%	0.00%	100.00%	Out of domain	15.44%	Out of Domain
15	N/A	1-/4-Hydroxy-Benzotriazol#	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1											
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	Reactive unspecified	no data	<=0.0488	from  0.012 to  0.198	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	Reactive unspecified	no data	<=774.5759	from 442.533 to 1355.758	N/A	N/A	N/A	N/A	N/A	N/A	N/A
18	114248-23-6	"2',2'-Difluorodeoxyuridin"	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	Reactive unspecified	no data	<=164463.6563	from 45849.176 to 589940.688	N/A	N/A	N/A	N/A	N/A	N/A	N/A
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	Reactive unspecified	no data	<=51.0331	from 27.848 to 93.520	N/A	N/A	N/A	N/A	N/A	N/A	N/A
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	Reactive unspecified	no data	<=1.3048	from  0.564 to  3.017	N/A	N/A	N/A	N/A	N/A	N/A	N/A
21	1610-17-9	Atraton (Isobare zu Prometon-Hydroxy)	CCNc1nc(NC(C)C)nc(OC)n1	basesurface narcotics	no data	11.3541	from  6.532 to 19.735	Out of domain	30.00%	0.00%	70.00%	Out of domain	45.30%	Out of Domain
22	1007-28-9	Atrazin-Desisopropyl	CCNc1nc(N)nc(Cl)n1	Reactive unspecified	no data	<=406.9224	from 230.201 to 719.310	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23	51-55-8	Atropine	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	Reactive unspecified	no data	<=207.9351	from 127.019 to 340.398	N/A	N/A	N/A	N/A	N/A	N/A	N/A
24	35575-96-3	Azamethiphos	COP(=O)(OC)SCN1c2c(cc(Cl)cn2)OC1=O	Reactive unspecified	no data	<=1171.8134	from 487.799 to 2814.982	N/A	N/A	N/A	N/A	N/A	N/A	N/A
25	1185255-09-7	Azoxystrobinsäure	CO/C=C(\c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)/C(O)=O	Reactive unspecified	no data	<=843.4610*	from 404.373 to 1759.332	N/A	N/A	N/A	N/A	N/A	N/A	N/A
26	2156-27-6	Benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1	Reactive unspecified	no data	<=0.1038	from  0.030 to  0.359	N/A	N/A	N/A	N/A	N/A	N/A	N/A
27	177406-68-7	Benthiavalicarb-isopropyl	CC(C)C{P-}(C(O)=NC{P+}(C)C1=Nc2ccc(F)cc2S1)N=C(O)OC(C)C	Reactive unspecified	no data	<=0.4139	from  0.150 to  1.144	N/A	N/A	N/A	N/A	N/A	N/A	N/A
28	153559-49-0	Bexarotene	Cc1cc2c(cc1C(=C)c1ccc(C(O)=O)cc1)C(C)(C)CCC2(C)C	Reactive unspecified	no data	<=0.1488*	from  0.047 to  0.469	N/A	N/A	N/A	N/A	N/A	N/A	N/A
29	90357-06-5	Bicalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	Reactive unspecified	no data	<=91.3533	from 45.069 to 185.168	N/A	N/A	N/A	N/A	N/A	N/A	N/A
30	53774-07-5	Bifenox-säure	OC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	Reactive unspecified	no data	<=2.2011	from  0.933 to  5.195	N/A	N/A	N/A	N/A	N/A	N/A	N/A
31	2438-72-4	Bufexamac	CCCCOc1ccc(CC(=O)NO)cc1	basesurface narcotics	no data	140.2534	from 86.715 to 226.846	Out of domain	27.27%	0.00%	72.73%	Out of domain	76.35%	Out of Domain
32	2180-92-9	Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	basesurface narcotics	no data	8.0105	from  4.294 to 14.942	Out of domain	37.50%	0.00%	62.50%	Out of domain	34.08%	Out of Domain
33	34911-55-2	Bupropion	CC(C(=O)c1cccc(Cl)c1)NC(C)(C)C	Reactive unspecified	no data	<=2.2579	from  1.064 to  4.789	N/A	N/A	N/A	N/A	N/A	N/A	N/A
34	154361-50-9	Capecitabin	CCCCCOC(=O)NC1C(F)=CN(C{P-}2C{P+}(O)C{P+}(O)C{P-}(C)O2)C(=O)N=1	Reactive unspecified	no data	<=3700.8545	from 1475.513 to 9282.421	N/A	N/A	N/A	N/A	N/A	N/A	N/A
35	78-44-4	Carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	Reactive unspecified	no data	<=98.1175	from 66.632 to 144.481	N/A	N/A	N/A	N/A	N/A	N/A	N/A
36	57470-78-7	Celiprolol	CCN(CC)C(O)=Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	Reactive unspecified	no data	<=2407.9773	from 1143.326 to 5071.479	N/A	N/A	N/A	N/A	N/A	N/A	N/A
37	17254-80-7	Chloridazon-methyl-desphenyl	CN1C(=O)C(Cl)=C(N)C=N1	Reactive unspecified	no data	<=126499.9141	from 31302.783 to 511207.906	N/A	N/A	N/A	N/A	N/A	N/A	N/A
38	N/A	Chlorothalonil-4-hydroxy-Carbonsäureamid (TP611968)	N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl	Reactive unspecified	no data	<=2.7960*	from  1.242 to  6.296	N/A	N/A	N/A	N/A	N/A	N/A	N/A
39	77-36-1	Chlorthalidon	NS(=O)(=O)c1cc(C2(O)c3ccccc3C(=O)N2)ccc1Cl	Reactive unspecified	no data	<=1330.5334	from 594.515 to 2977.756	N/A	N/A	N/A	N/A	N/A	N/A	N/A
40	82009-34-5	Cilastatin	CC1(C)CC{P+}1C(O)=N/C(=C\CCCCSCC{P+}(N)C(O)=O)/C(O)=O	Reactive unspecified	no data	<=2633.9968*	from 1221.270 to 5680.923	N/A	N/A	N/A	N/A	N/A	N/A	N/A
41	18323-44-9	Clindamycin	CCCC{P+}1CC{P-}(C(=O)NC(C(C)Cl)C{P+}2C{P+}(O)C{P+}(O)C{P-}(O)C{P-}(SC)O2)N(C)C1	basesurface narcotics	no data	252.2095	from 157.175 to 404.705	Out of domain	33.33%	0.00%	66.67%	Out of domain	80.18%	Out of Domain
42	144457-28-3	Clopidogrel Carbonsäure	OC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	Reactive unspecified	no data	<=507.4217*	from 289.685 to 888.815	N/A	N/A	N/A	N/A	N/A	N/A	N/A
