No	CAS	Name	SMILES	Pimephales promelas mode of action	Pimephales promelas_Observed	Pimephales promelas_StructCalcValue_Toxicity mg/L	Pimephales promelas_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain	Microbial toxicity_NEW	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain	Remark
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	Reactive unspecified	no data	<=10926.2441	from 7316.711 to 16316.459	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	52.17%	4.35%	43.48%	Out of domain	In domain	Out of Domain	 
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	Reactive unspecified	no data	<=49.3468	from 41.625 to 58.501	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aromatic amine suspected BOD inhibition effect	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	Reactive unspecified	no data	<=261.1857	from 206.193 to 330.845	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	In domain	40.00%	0.00%	60.00%	Out of domain	In domain	Out of Domain	 
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	Reactive unspecified	no data	<=555.8098	from 432.089 to 714.955	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Unsaturated heterocyclic suspected BOD inhibition effect	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	phenols and anilines	no data	15.8489	from 11.711 to 21.448	In domain	60.00%	0.00%	40.00%	Out of domain	31.02%	Out of Domain	 (N/A)	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	belong to training set
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	Reactive unspecified	no data	<=2.4119*	from  1.851 to  3.142	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Aryl halide suspected BOD inhibition effect	In domain	52.63%	0.00%	47.37%	Out of domain	In domain	Out of Domain	 
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	Reactive unspecified	no data	<=29.9827	from 24.154 to 37.217	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Pyridine suspected BOD inhibition effect	In domain	10.00%	0.00%	90.00%	Out of domain	In domain	Out of Domain	 
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	Reactive unspecified	no data	<=8372.3047	from 4940.307 to 14188.486	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	15.38%	0.00%	84.62%	Out of domain	In domain	Out of Domain	 
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	Reactive unspecified	no data	<=70.1132	from 59.993 to 81.940	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 (N/A)	In domain	88.24%	0.00%	11.76%	Out of domain	In domain	Out of Domain	 
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	Reactive unspecified	no data	<=13381.9785	from 7843.661 to 22830.842	N/A	N/A	N/A	N/A	N/A	N/A	N/A	 Unsaturated heterocyclic suspected BOD inhibition effect	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
