#	Cas#	Chem. Name	Smiles	Quantity	log Kow	Molecular weight	Daphnia magna LC50 48h										
							Daphnia magna-48h LC50 mode of action	Daphnia magna-48h LC50_Observed	Daphnia magna-48h LC50_StructCalcValue_Toxicity mg/l	Daphnia magna-48h LC50_Confidence	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Parametric coverage	Total Domain
1	161599-46-8	"2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin"	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	1.00E-05	-0.3694	329.2694	Reactive unspecified	no data	<=18032.3086	from 9458.658 to 34377.406	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2	60397-77-5	"2,4-dimethylphenylformamid"	Cc1ccc(NC=O)c(C)c1	0.9303	2.2269	149.1829	Reactive unspecified	no data	<=41.8600	from 32.375 to 54.125	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3	1668-54-8	"2-Amino-4-methoxy-6-methyl-1,3,5 triazin"	Cc1nc(N)nc(OC)n1	0.265	1.2627	140.1402	Reactive unspecified	no data	<=296.8711	from 208.526 to 422.645	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	1.00E-05	0.8772	133.1463	Reactive unspecified	no data	<=626.2094	from 417.721 to 938.756	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	0.8331	2.532	135.1997	Reactive unspecified	no data	<=23.0418	from 18.507 to 28.688	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	1.00E-05	4.1337	415.8062	Reactive unspecified	no data	<=1.7915*	from  1.304 to  2.461	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	0.6221	2.5468	222.6679	Reactive unspecified	no data	<=27.7237	from 20.501 to 37.490	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	0.1334	-0.7157	222.2404	Reactive unspecified	no data	<=20664.8906	from 9275.680 to 46038.438	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	0.002887	2.7573	551.7336	Reactive unspecified	no data	<=52.3582	from 41.941 to 65.363	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	1.00E-05	-1.1436	136.1086	Reactive unspecified	no data	<=32094.0469	from 13865.741 to 74285.813	N/A	N/A	N/A	N/A	N/A	N/A	N/A
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	0.05853	-0.7599	263.2823	Reactive unspecified	no data	<=36156.7188	from 18828.531 to 69432.305	N/A	N/A	N/A	N/A	N/A	N/A	N/A
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	0.9537	2.1887	196.6697	basesurface narcotics	no data	61.5604	from 47.931 to 79.066	In domain	12.50%	0.00%	87.50%	Out of domain	57.22%	Out of Domain
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	0.5	0.6534	231.2286	Reactive unspecified	no data	<=732.4645*	from 271.800 to 1973.895	N/A	N/A	N/A	N/A	N/A	N/A	N/A
14	80-73-9	"1,3-Dimethyl-2-imidazolidinon"	CN1CCN(C)C1=O	0.1657	-0.3135	114.142	basesurface narcotics	no data	8284.1846	from 5016.297 to 13680.950	In domain	50.00%	0.00%	50.00%	Out of domain	14.86%	Out of Domain
15	N/A	1-/4-Hydroxy-Benzotriazol#	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1														
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	1.00E-05	6.8979	470.6594	Reactive unspecified	no data	<=0.0490	from  0.029 to  0.082	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	0.592	1.12	176.2504	Reactive unspecified	no data	<=535.0565	from 377.288 to 758.798	N/A	N/A	N/A	N/A	N/A	N/A	N/A
18	114248-23-6	"2',2'-Difluorodeoxyuridin"	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	1.00E-05	-1.1999	266.1898	Reactive unspecified	no data	<=97469.5156	from 48786.438 to 194732.547	N/A	N/A	N/A	N/A	N/A	N/A	N/A
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	0.01838	2.8793	704.826	Reactive unspecified	no data	<=42.9894	from 32.023 to 57.711	N/A	N/A	N/A	N/A	N/A	N/A	N/A
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	0.001561	4.2326	255.3419	Reactive unspecified	no data	<=1.1401	from  0.849 to  1.530	N/A	N/A	N/A	N/A	N/A	N/A	N/A
21	1610-17-9	Atraton (Isobare zu Prometon-Hydroxy)	CCNc1nc(NC(C)C)nc(OC)n1	0.9764	3.1494	211.2583	basesurface narcotics	no data	9.131	from  7.343 to 11.354	In domain	60.00%	0.00%	40.00%	Out of domain	79.82%	Out of Domain
22	1007-28-9	Atrazin-Desisopropyl	CCNc1nc(N)nc(Cl)n1	0.2685	1.3615	173.6012	Reactive unspecified	no data	<=293.2219	from 206.736 to 415.888	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23	51-55-8	Atropine	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	1.00E-05	1.9079	289.3557	esters	no data	160.0796	from 46.339 to 553.002	Out of domain	6.25%	0.00%	93.75%	Out of domain	30.90%	Out of Domain
24	35575-96-3	Azamethiphos	COP(=O)(OC)SCN1c2c(cc(Cl)cn2)OC1=O	0.7504	0.9986	324.669	Reactive unspecified	no data	<=892.2753	from 518.950 to 1534.165	N/A	N/A	N/A	N/A	N/A	N/A	N/A
25	1185255-09-7	Azoxystrobinsäure	CO/C=C(\c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)/C(O)=O	1.00E-05	1.289	389.3445	Reactive unspecified	no data	<=638.4368*	from 406.330 to 1003.128	N/A	N/A	N/A	N/A	N/A	N/A	N/A
26	2156-27-6	Benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1	0.7396	5.5721	309.4293	Reactive unspecified	no data	<=0.0989	from  0.062 to  0.156	N/A	N/A	N/A	N/A	N/A	N/A	N/A
27	177406-68-7	Benthiavalicarb-isopropyl	CC(C)C{P-}(C(O)=NC{P+}(C)C1=Nc2ccc(F)cc2S1)N=C(O)OC(C)C	1.00E-10	4.8267	381.4496	Reactive unspecified	no data	<=0.4032	from  0.281 to  0.579	N/A	N/A	N/A	N/A	N/A	N/A	N/A
28	153559-49-0	Bexarotene	Cc1cc2c(cc1C(=C)c1ccc(C(O)=O)cc1)C(C)(C)CCC2(C)C	0.6792	7.9921	348.4591	Reactive unspecified	no data	<=0.1481*	from  0.099 to  0.222	N/A	N/A	N/A	N/A	N/A	N/A	N/A
29	90357-06-5	Bicalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0.03017	2.2971	430.3566	Reactive unspecified	no data	<=76.9402	from 50.471 to 117.290	N/A	N/A	N/A	N/A	N/A	N/A	N/A
30	53774-07-5	Bifenox-säure	OC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	9.93E-08	3.8553	328.0933	Reactive unspecified	no data	<=2.1199	from  1.419 to  3.166	N/A	N/A	N/A	N/A	N/A	N/A	N/A
31	2438-72-4	Bufexamac	CCCCOc1ccc(CC(=O)NO)cc1	0.3876	1.9758	223.2583	basesurface narcotics	no data	105.4226	from 79.681 to 139.479	In domain	36.36%	0.00%	63.64%	Out of domain	46.38%	Out of Domain
32	2180-92-9	Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	0.8229	3.4372	288.4142	basesurface narcotics	no data	6.6376	from  5.276 to  8.350	In domain	50.00%	0.00%	50.00%	Out of domain	77.37%	Out of Domain
33	34911-55-2	Bupropion	CC(C(=O)c1cccc(Cl)c1)NC(C)(C)C	0.3385	3.8544	239.7312	Reactive unspecified	no data	<=2.0113	from  1.528 to  2.647	N/A	N/A	N/A	N/A	N/A	N/A	N/A
34	154361-50-9	Capecitabin	CCCCCOC(=O)NC1C(F)=CN(C{P-}2C{P+}(O)C{P+}(O)C{P-}(C)O2)C(=O)N=1	0.07193	0.5563	359.3368	Reactive unspecified	no data	<=2670.8284	from 1534.781 to 4647.781	N/A	N/A	N/A	N/A	N/A	N/A	N/A
35	78-44-4	Carisoprodol	CCCC(C)(COC(N)=O)COC(=O)NC(C)C	0.3566	2.3572	260.3196	Reactive unspecified	no data	<=70.5251	from 55.396 to 89.786	N/A	N/A	N/A	N/A	N/A	N/A	N/A
36	57470-78-7	Celiprolol	CCN(CC)C(O)=Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1	0.2828	0.8531	379.4777	Reactive unspecified	no data	<=1712.3595	from 1092.125 to 2684.836	N/A	N/A	N/A	N/A	N/A	N/A	N/A
