Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
													Parent Correct fragments Structural domain	Parent Incorrect fragments Structural domain	Parent Unknown fragments Structural domain	Parent Total Structural domain															
153661-28-0	(4-Sulfophenyl)acetic acid	OC(=O)Cc1ccc(S(O)(=O)=O)cc1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
3327-22-8	(s)-(-)-(3-Chloro-2-hydroxypropyl)trimethylammonium	CN{+}(C)(C)(.Cl{-})CC(O)CCl	0.6556	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Haloalcohols	Undetermined (0 <n< 10)	 	 	Out of domain	30.00%	0.00%	70.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Haloalcohols	Undetermined (0 <n< 10)	 	0.6556	in vivo Liver Clastogen positive	Interaction with DNA 	Haloalcohols	Undetermined (0 <n< 10)	 	 	Out of Domain
2634-33-5	"1,2-Benzisothiazolinone"	O=C1c2ccccc2SN1	0.3851	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain	 	Belongs to deacivated path	* 52. Carboxylic acid amines;* 53. Carboxylic acid amines	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	 	0.3851	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	 	 	Out of Domain
123-91-1	"1,4-Dioxane"	C1COCCO1	0.3175	in vivo Liver Clastogen positive	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3175	in vivo Liver Clastogen negative	 	 	 	 	 	In domain
35079-97-1	"10,11-Dihydro-10,11-dihydroxycarbamazepine"	NC(=O)N1c2ccccc2C(O)C(O)c2ccccc12	0.3981	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.3981	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
29331-92-8	"10,11-Dihydro-10-hydroxycarbamazepine"	NC(=O)N1c2ccccc2CC(O)c2ccccc12	0.2038	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	11.11%	0.00%	88.89%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2038	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
865-86-1	"10:2 FTOH (1H,1H,2H,2H-perfluorododecan-1-ol)"	OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0.1143	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	8.82%	0.00%	91.18%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	0.1143	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
35822-46-9	"1234678-HpCDD (1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin)"	Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	0.5835	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5835	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
67562-39-4	"1234678-HpCDF (1,2,3,4,6,7,8-Heptachlorodibenzofuran)"	Clc1cc2c(c(Cl)c1Cl)Oc1c-2c(Cl)c(Cl)c(Cl)c1Cl	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
55673-89-7	"1234789-HpCDF (1,2,3,4,7,8,9-Heptachlorodibenzofuran)"	Clc1cc2c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1O2	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	1	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
