Cas#	Chem. Name	Smiles	Quantity	Mixture/Salt	Map reliability	CO2_Observed [28]	CO2 [28]	±_CO2 [28]	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by CO2	Start day of Obs. 10 days window	CO2 obs at 10 days window	Classification of Obs. 10 days window	CO2 calc at 10 days window	Start day of Calc. 10 days window	Classification of Calc. 10 days window	Parameter ranges	Structural domain				Unable to mineralize	Total Domain
																			Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain		
15972-60-8	Alachlor	CCc1cccc(CC)c1N(COC)C(=O)CCl	0.04794	 	0.1358	No data	 0.116	 	6.38 days	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	0.1385	24.25	Not Ready	In domain	38.46%	0.00%	61.54%	Out of domain	Out of domain	Out of Domain
120-12-7	Anthracene	c1cccc2cc3ccccc3cc12	1E-006	 	0.2744	No data	 0.209	 	 < 1 day	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	0.1872	3.70	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
1912-24-9	Atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	0.005629	 	0.3784	No data	 0.240	 	3.63 days	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	0.2119	8.10	Not Ready	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
71-43-2	Benzene	c1ccccc1	0.001	 	0.5863	No data	 0.973	 	2.00 days	5.13 days	Unknown	Unknown	Unknown	Unknown	0.8270	2.05	Ready	Out of domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
93703-48-1	3,3',4,4'-Tetrabromodiphenyl ether	Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br	0.49	 	N/A	No data	 0.383	 	27.13 days	1m 7d	Unknown	Unknown	Unknown	Unknown	0.2655	9.50	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
32534-81-9	1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene	Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	0.49	 	N/A	No data	 0.439	 	27.13 days	1m 1d	Unknown	Unknown	Unknown	Unknown	0.3000	8.65	Not Ready	In domain	12.50%	0.00%	87.50%	Out of domain	In domain	Out of Domain
36483-60-0	1,2,3-tribromo-4-(2,3,5-tribromophenoxy)benzene	Brc1ccc(Oc2cc(Br)cc(Br)c2Br)c(Br)c1Br	0.49	 	N/A	No data	 0.345	 	27.13 days	1m 12d	Unknown	Unknown	Unknown	Unknown	0.2492	10.45	Not Ready	In domain	11.11%	0.00%	88.89%	Out of domain	Out of domain	Out of Domain
68928-80-3	1,2,3,4,5-pentabromo-6-(2,3-dibromophenoxy)benzene	Brc1cccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c1Br	0.7	 	N/A	No data	 0.112	 	1m 23d	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	0.1429	25.20	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	1	 	0.2899	No data	0.000	 	more than 10 years	2y 2m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	13.33%	0.00%	86.67%	Out of domain	In domain	Out of Domain
