Cas#	Chem. Name	Smiles	Quantity	Mixture/Salt	Microbial toxicity_NEW	Map reliability	BOD_Observed [28]	BOD [28]	±_BOD [28]	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by BOD	Start day of Obs. 10 days window	BOD obs at 10 days window	Classification of Obs. 10 days window	BOD calc at 10 days window	Start day of Calc. 10 days window	Classification of Calc. 10 days window	Parameter ranges	Structural domain				Unable to mineralize	Total Domain
																				Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain		
15972-60-8	Alachlor	CCc1cccc(CC)c1N(COC)C(=O)CCl	0.127	 	 Aromatic amine suspected BOD inhibition effect	0.3300	No data	0.09	2.44	9.40 days	6m 25d	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	69.23%	0.00%	30.77%	Out of domain	Out of domain	Out of Domain
120-12-7	Anthracene	c1cccc2cc3ccccc3cc12	1E-006	 	 Naphtalene suspected inhibition effect	0.0628	No data	0.78	0.02	 < 1 day	12.98 days	Unknown	Unknown	Unknown	Unknown	0.4708	2	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
1912-24-9	Atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	0.004541	 	 N-Heterocyclic aromatic amine suspected BOD inhibition effect	0.7588	No data	0.48	0.23	3.60 days	30.02 days	Unknown	Unknown	Unknown	Unknown	0.3193	5	Not Ready	In domain	44.44%	0.00%	55.56%	Out of domain	In domain	Out of Domain
71-43-2	Benzene	c1ccccc1	0.001	 	 (N/A)	0.2653	No data	0.87	0.01	2.11 days	9.64 days	Unknown	Unknown	Unknown	Unknown	0.7129	2	Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
93703-48-1	3,3',4,4'-Tetrabromodiphenyl ether	Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br	0.998	 	 Aryl halide suspected BOD inhibition effect	0.1257	No data	0.00	0.17	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
32534-81-9	1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene	Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	0.996	 	 Aryl halide suspected BOD inhibition effect	0.0776	No data	0.00	0.08	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
36483-60-0	1,2,3-tribromo-4-(2,3,5-tribromophenoxy)benzene	Brc1ccc(Oc2cc(Br)cc(Br)c2Br)c(Br)c1Br	0.996	 	 Aryl halide suspected BOD inhibition effect	0.0776	No data	0.00	0.08	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
68928-80-3	1,2,3,4,5-pentabromo-6-(2,3-dibromophenoxy)benzene	Brc1cccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c1Br	0.997	 	 Aryl halide suspected BOD inhibition effect	0.0394	No data	0.00	0.08	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	1	 	 Aryl halide suspected BOD inhibition effect	0.1799	No data	0.00	0.08	more than 10 years	more than 10 years	Unknown	Unknown	Unknown	Unknown	?	>28	Not Ready	In domain	26.67%	0.00%	73.33%	Out of domain	In domain	Out of Domain
