CAS Number	Chemical name(s)	SMILES	Primary Half Life by Kn (days)	Ultimate Half Life Predicted se	Molecular Weight [Da]	Mean Melting Point  [C]	Vapor Pressure (Antoine method) [Pa]	Water Solubility [mol/m3] 	Ka Half-Life (pH 7) [hours] 	Kb half-life (pH 7) [hours]	log Kow 	Boiling Point degC	Tb [C]	Tm [C] ChemProp Fragment model	Tm [C] ChemProp Read-across model	Vp 25 [Pa]	log Sw [mol/L] ChemProp	log Sw [mol/L] ACD 	pKa1	pKa2	pKb1	pKb2	HL hyd acid pH 7 [h]	HL hyd base pH 7 [h]	HL hyd neutral [h]	HL hyd total pH 7 [h]	HL sed [h]	HL soil [h]	HL water [h]	log Kow ChemProp Consensus model (fragments)	log Kow ChemProp Read-across	log Kow ACD Fragments	log Kow ACD Similarity based	log Kow ACD Consensus	log Kaw ChemProp	log Koa ChemProp	Dhaw [kJ/mole] 	Water Solubility [mol/L] EPI-Suite	Water Solubility [mol/L] ChemProp	Water Solubility [mol/L] ACD/Percepta	Water Solubility [mg/L] EPI-Suite	Water Solubility [mg/L] ChemProp	Water Solubility [mg/L] ACD/Percepta
100-02-7	4-nitrophenol	Oc1ccc(N(=O)=O)cc1	3650	1y 10m 30d	139	103	0.0347	54			1.91		267	103	85	0.091086	-0.56314	-1.41	7.2								1700	550	170	1.0848	1.9	1.57	1.74	1.71	-6.8046	8.1033	53.947	0.054028777	0.273654676	0.038935302	7510	38038	5412.00701
100-97-0	methenamine	C1N2CN3CN1CN(C2)C3	3650	21.80 days	140.18	235.84	14.265	7133.5			-4.15	208.59	272	-13		1.8908	0.85328	0.85			8.72	13.34	4.72E+06	1.43E+07	1494.6	1494	1700	550	170	-0.32506		2.17	-0.49	0.99	-6.2918	9.6091	110.15	7.194244604	7.194244604	7.140066151	1000000	1000000	992469.195
10605-21-7	Carbendazim	COC(=O)NC1Nc2ccccc2N=1	3650	1y 10m 7d	191	177	0.00000014	12.8		7368000	1.55		329	155		0.002686	-2.2768	-3.58	10		9.5						1700	550	170	1.148	1.52	1.52	1.66	1.62	-8.7965	12.202	114.92	0.017553957	0.007272662	0.000361785	2440	1010.9	50.2880937
108-78-1	melamine	Nc1nc(N)nc(N)n1	3650	1m 19d	126.12	349.84	7.04E-06	7929			-0.38	329.78	340	154		0.00026965	0.85851	-1.17			8.61	10.95					1700	1700	1700	-1.1484	-1.37	-1.37	-1.07	-1.18	-3.2539	4.4166	139.16	7.194244604	6.553956835	0.06134845	1000000	911000	8527.43457
109-89-7	diethylamine	CCNCC	3650	15.99 days	73.13	-85.66	31864	5974			0.81	68.26	51	-92	-50	37478	0.75662	0.03			3.24				10581	10581	550	170	17	0.60295	0.58	0.63	0.73	0.7	-8.1599	10.536	49.391	3.143884892	3.007194245	0.563819583	437000	418000	78370.922
111988-49-9	Thiacloprid	N#C/N=C1N(Cc2ccc(Cl)nc2)CCS/1	3650	11m 24d	253	211	0.0000433	0.918			2.33		366				-2.7925	-2.86			7.02	14.58					5500	1700	550	2.0476		0.55	1.55	1.22	-12.905	8.2803	111.57	0.001669065	0.002931655	0.002509817	232	407.5	348.864515
112-02-7	cetrimonium chloride	CCCCCCCCCCCCCCCCN{+}(C)(C)(C).Cl{-}	3650	17.92 days	319.98	349.84	5.60E-10	5.10E-02			3.18	499.89	346	40		0.01619	-7.7353	-6.03									1700	550	170	7.375		2.4	2.8	2.66	-4.2353	10.047	96.753	0.000117266	4.22108E-08	2.14857E-06	16.3	0.0058673	0.29865071
113665-84-2	Klopidogrel	COC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	28.48449	3m 19d	322	213	0.0000076	0.158		202080	3.82		376	72		0.00047793	-3.82	-3.88			13.66						1700	550	170	3.842		4.23	4.2	4.21	-8.8604	11.466	87.87	0.000365468	0.000350446	0.000305219	50.8	48.712	42.4254566
115-86-6	triphenyl phosphate	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	18.98192	13.22 days	326.27	75	5.43E-06	3.17E-03	10282.56	10282.56	4.7	441.27	370	50	51	0.0011652	-5.16	-5.41									5500	1700	550	4.1927	4.59	4.1	4.14	4.12	-9.5911	14.288		7.41007E-06	1.62417E-05	9.13248E-06	1.03	2.2576	1.2694154
115-96-8	tris(2-chloroethyl) phosphate	O=P(OCCCl)(OCCCl)OCCCl	25.97199	1y 5m 18d	285	83	0.0308	3.08		174240	1.63		311	43	-35	0.066497	-2.7867	-1.75									5500	1700	550	1.7615	1.44	0.48	1.79	1.42	-6.2718	8.9337		0.006316547	0.003356475	0.036523812	878	466.55	5076.80989
120068-37-3	Fipronil	NC1=C(S(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	1.20412	more than 10 years	437	259	4.2E-09	0.000856			6.64		-273		187		-7.3908	-5.6									5500	1700	1700		3.7821	4.76	3.53	3.71	-10.182	11.877	142.66	2.69065E-06	1.27554E-07	7.89979E-06	0.374	0.01773	1.09807115
120-18-3	naphthalene-2-sulphonic acid	OS(=O)(=O)c1ccc2ccccc2c1	3650	2y 1m 22d	208.22	211.76	1.87E-06	55.229			0.01	391.58	395	131	116	9.42E-05	-1.8926	-2	0.27								5500	550	170	1.3731	0.63	1.7	0.19	0.8	-5.4561	7.6633	69.013	0.082733813	0.019183453	0.014981295	11500	2666.5	2082.4
120-40-1	N,N-bis(2-hydroxyethyl)dodecanamide	CCCCCCCCCCCC(=O)N(CCO)CCO	3650	20.02 days	287.42	232.92	5.72E-08	0.17365			2.89	430.64	393	201			-4.1145	-3.39	14.13	14.82	14.85						550	170	170	3.2305		3.94	3.96	3.95	-9.4198	13.385	143.75	0.000358993	0.000158863	0.000842427	49.9	22.082	117.097387
120-47-8	ethyl 4-hydroxybenzoate	CCOC(=O)c1ccc(O)cc1	3650	12.67 days	166	71	0.00967	11.4		319200	2.49		271	77	64	0.13196	-2.0177	-2.27	8.5					1.86E+05		1.86E+05	550	170	55	1.7552	2.63	2.4	2.58	2.53	-6.9569	8.5209	60.628	0.013597122	0.011476978	0.006420428	1890	1595.3	892.439439
122-34-9	Simazine	CCNc1nc(NCC)nc(Cl)n1	3650	8y 2m 20d	202	181	0.000899	2.93			2.4		333	102	226	0.0044139	-3.7657	-3.65			12.3						1700	550	1700	2.0297	2.18	2.28	2.3	2.29	-6.425	9.3948	135.69	0.004244604	0.000247993	0.000324808	590	34.471	45.1482892
123-91-1	1,4-dioxane	C1COCCO1	3650	5y 11m 3d	88.10	-73.56	5679.5	2427.9			-0.32	102.77	100	-35	12	5293.9	-0.30164	0.78									1700	550	170	0.04377	-0.27	-0.27	-0.3	-0.29	-5.1035	12.275	40.7	1.539568345	0.316482014	3.819360784	214000	43991	530891.149
124-40-3	dimethylamine	CNC	3650	15.86 days	45.08	-108.2	1.97E+05	22182			-0.17	16.06	-21	-106	-92	5.54E+05	1.346	0.77			3.26						1700	550	55	-0.077318	-0.38	-0.43	-0.23	-0.28	-8.1664	12.771	43.648	7.194244604	7.194244604	1.909971583	1000000	1000000	265486.05
126-71-6	triisobutyl phosphate	CC(C)COP(=O)(OCC(C)C)OCC(C)C	1021.68384	10m 1d	266.30	7.16	1.6932	6.09E-02	93883.2	93883.2	3.6	302.2	278	-4	-64	0.7808	-2.9283	-1.86									1700	550	550	3.2264		3.71	3.69	3.7	-30.104	22.688		0.000116547	0.002259928	0.026447765	16.2	314.13	3676.23937
126-73-8	tributyl phosphate	CCCCOP(=O)(OCCCC)OCCCC	1021.68384	10m 1d	266	64.7	0.395	0.0276		100320	3.82		293	0	-79	0.30709	-2.4204	-2.4									1700	550	170	3.5038	4	4.26	3.46	3.74	-3.5023	8.2215		5.29496E-05	0.007277698	0.007627619	7.36	1011.6	1060.23902
127-18-4	tetrachloroethylene	ClC(Cl)=C(Cl)Cl	45.05334	6m 24d	165.83	-74.18	2519.8	0.48435			2.97	114.28	170	6	-22	311.13	-2.561	-2.56									5500	1700	550	2.5173	3.4	2.95	3.43	3.3	-7.995	11.868	29.654	0.000577698	0.003278201	0.003285854	80.3	455.67	456.733746
129-00-0	pyrene	c1ccc2ccc3cccc4ccc1c2c34	3650	more than 10 years	202	128	0.00000903	0.00111			4.93		401	148	151	4.13E-05	-6.8657	-6.59									55000	17000	1700	4.6828	4.88	5.17	4.84	4.92	-3.7298	8.4949	41.083	1.61871E-06	1.97971E-07	3.7402E-07	0.225	0.027518	0.05198883
131-57-7	oxybenzone	COc1ccc(C(=O)c2ccccc2)c(O)c1	3650	6m 24d	228.23	223.62	0.00031731	0.3004			3.52	363.41	378	119	66	3.06E-05	-3.2148	-3.25	7.56								1700	550	170	2.8954	3.79	3.64	3.95	3.88	-1.1073	2.5897	75.829	0.000493525	0.001001439	0.000923413	68.6	139.2	128.354407
13523-86-9	Pindolol	CC(C)NCC(O)COc1cccc2c1C=CN2	3650	1m 14d	248	173	0.000000136	31.7			1.48		375	146	171	0.00025082	-1.5715	-1.86	14.07		4.5						1700	550	170	1.8357	1.75	1.97	1.8	1.86	-11.03	12.607	134.77	0.056690647	0.047916547	0.02466121	7880	6660.4	3427.90824
13674-84-5	tris(2-chloro-1-methylethyl) phosphate	CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl	25.97199	1y 6m 3d	327.56	63.11	0.0028398	0.15829	98618.4	98618.4	2.89	365.49	331	47	-40	0.017426	-4.0397	-2.43									5500	1700	1700	2.87	2.59	1.53	2.63	2.31	-4.2076	6.8835		0.000373381	0.000215079	0.008755669	51.9	29.896	1217.03795
13674-87-8	tris[2-chloro-1-(chloromethyl)ethyl] phosphate	O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	25.97199	1y 9m 18d	430.90	75	2.08E-06	3.48E-03	98618.4	98618.4	3.65	458.73	399	99	27	4.82E-05	-5.3557	-3.51									17000	5500	1700	3.5301	3.65	1.79	3.71	3.26	-4.1003	4.9904		1.07914E-05	1.36662E-05	0.000958014	1.5	1.8996	133.16392
137-58-6	Lidokain	CCN(CC)CC(=O)Nc1c(C)cccc1C	3650	6m 21d	234	192	0.000243	1.01			1.66		360	129	69	0.00038337	-2.5368	-1.84	13.06		6.1						5500	1700	550	2.7269	2.44	2.36	2.32	2.33	-10.749	10.316	122.44	0.00171223	0.004897914	0.024369699	238	680.81	3387.3881
