No	CAS	Name	SMILES	Ultimate biodeg (Biowin 3)	Ultimate biodeg (Biowin 3)(min)	Ultimate biodeg (Biowin 3)(max)	Ultimate biodeg (Biowin 3)(Unit)
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	2.7432	<no data>	<no data>	
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	2.6656	<no data>	<no data>	
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	2.3757	<no data>	<no data>	
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	2.77	<no data>	<no data>	
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	2.6906	<no data>	<no data>	
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	2.3706	<no data>	<no data>	
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	2.2863	<no data>	<no data>	
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	2.6538	<no data>	<no data>	
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	1.6439	<no data>	<no data>	
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	2.8984	<no data>	<no data>	
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	2.5851	<no data>	<no data>	
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	2.3276	<no data>	<no data>	
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	1.9204	<no data>	<no data>	
14	80-73-9	1,3-Dimethyl-2-imidazolidinon	CN1CCN(C)C1=O	2.9469	<no data>	<no data>	
15	N/A	1-/4-Hydroxy-Benzotriazol	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1				
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	1.3884	<no data>	<no data>	
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	2.6013	<no data>	<no data>	
18	114248-23-6	2',2'-Difluorodeoxyuridin	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	2.71	<no data>	<no data>	
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	0.9626	<no data>	<no data>	
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	2.5483	<no data>	<no data>	
