No	CAS	Name	SMILES	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by CO2	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Unable to mineralize	Total Domain
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	 < 1 day	2y 2m 25d	Unknown	In domain	43.48%	0.00%	56.52%	Out of domain	In domain	Out of Domain
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	1.63 days	23.38 days	Unknown	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	6.50 days	2y 2m 25d	Unknown	In domain	20.00%	0.00%	80.00%	Out of domain	Out of domain	Out of Domain
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	more than 10 years	2y 2m 25d	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	2.50 days	14.63 days	Unknown	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	 < 1 day	2y 2m 25d	Unknown	In domain	52.63%	0.00%	47.37%	Out of domain	In domain	Out of Domain
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	more than 10 years	2y 2m 25d	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	2.88 days	2y 2m 25d	Unknown	In domain	7.69%	0.00%	92.31%	Out of domain	Out of domain	Out of Domain
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	 < 1 day	3m 12d	Unknown	In domain	76.47%	0.00%	23.53%	Out of domain	Out of domain	Out of Domain
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	1.50 days	2y 2m 25d	Unknown	In domain	0.00%	0.00%	100.00%	Out of domain	Out of domain	Out of Domain
