No	CAS	Name	SMILES	Koc (Log Kow)	Koc (Log Kow)(min)	Koc (Log Kow)(max)	Koc (Log Kow)(Unit)
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	2.712	<no data>	<no data>	L/kg
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	80.85	<no data>	<no data>	L/kg
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	34.07	<no data>	<no data>	L/kg
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	67.12	<no data>	<no data>	L/kg
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	190.9	<no data>	<no data>	L/kg
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	158.9	<no data>	<no data>	L/kg
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	689.9	<no data>	<no data>	L/kg
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	20.69	<no data>	<no data>	L/kg
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	102.4	<no data>	<no data>	L/kg
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	1.782	<no data>	<no data>	L/kg
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	0.9024	<no data>	<no data>	L/kg
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	96.26	<no data>	<no data>	L/kg
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	14.99	<no data>	<no data>	L/kg
14	80-73-9	1,3-Dimethyl-2-imidazolidinon	CN1CCN(C)C1=O	4.532	<no data>	<no data>	L/kg
