No	CAS	Name	SMILES	Vapor Pressure (Antoine Method)	Vapor Pressure (Antoine Method)(min)	Vapor Pressure (Antoine Method)(max)	Vapor Pressure (Antoine Method)(Unit)
1	161599-46-8	2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidin	CC1C(OC(C)=O)C(OC(C)=O)C(N2C=C(F)C(N)=NC2=O)O1	6.43E-06	<no data>	<no data>	Pa
2	60397-77-5	2,4-dimethylphenylformamid	Cc1ccc(NC=O)c(C)c1	0.012812	<no data>	<no data>	Pa
3	1668-54-8	2-Amino-4-methoxy-6-methyl-1,3,5 triazin	Cc1nc(N)nc(OC)n1	0.004133	<no data>	<no data>	Pa
4	934-32-7	2-Aminobenzimidazol	NC1Nc2ccccc2N=1	8.59E-06	<no data>	<no data>	Pa
5	99-88-7	4-Isopropylanilin	CC(C)c1ccc(N)cc1	14.399	<no data>	<no data>	Pa
6	53164-05-9	Acemetacin	CC1=C(CC(=O)OCC(O)=O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	4.45E-12	<no data>	<no data>	Pa
7	160430-64-8	Acetamiprid	CC(=NC#N)N(C)Cc1ccc(Cl)nc1	0.0030664	<no data>	<no data>	Pa
8	59-66-5	Acetazolamide	CC(=O)NC1=NN=C(S(N)(=O)=O)S1	4.41E-09	<no data>	<no data>	Pa
9	173334-57-1	Aliskiren	CC(C)C{P+}(CC{P+}(O)C{P-}(N)CC{P+}(Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(=O)NCC(C)(C)C(N)=O	1.08E-27	<no data>	<no data>	Pa
10	315-30-0	Allopurinol	O=C1C2=CNNC2=NC=N1	1.14E-05	<no data>	<no data>	Pa
11	519-65-3	AMDOPH	CC(=O)N(C)N(c1ccccc1)C(=O)C(=O)N(C)C	3.93E-07	<no data>	<no data>	Pa
12	6640-24-0	1-(3-Chlorophenyl)-piperazin	Clc1cccc(N2CCNCC2)c1	0.050529	<no data>	<no data>	Pa
13	15532-75-9	1-(3-Trifluoromethylphenyl)-piperazin	FC(F)(F)c1cccc(N2CCN{+}CC2)c1	1.37E-06	<no data>	<no data>	Pa
14	80-73-9	1,3-Dimethyl-2-imidazolidinon	CN1CCN(C)C1=O	17.732	<no data>	<no data>	Pa
15	N/A	1-/4-Hydroxy-Benzotriazol	Oc1cccc2c1N=NN2_ON1c2ccccc2N=N1	 			
16	471-53-4	18-beta-Glycyrrhetinsäure	CC1(C)C{P-}(O)CCC{P-}2(C)C{P-}1CCC{P+}1(C)C{P+}2C(=O)C=C2C{P+}3CC{P-}(C)(C(O)=O)CCC{P-}3(C)CCC{P-}12C	1.33E-16	<no data>	<no data>	Pa
17	2759-28-6	1-Benzylpiperazin	C1CNCCN1Cc1ccccc1	0.11612	<no data>	<no data>	Pa
18	114248-23-6	2',2'-Difluorodeoxyuridin	OCC1C(O)C(F)(F)C(N2CCC(=O)NC2=O)O1	1.02E-13	<no data>	<no data>	Pa
19	198904-31-3	Atazanavir	CC(C)(C)C{P-}(C(=O)NC{P-}(Cc1ccccc1)C{P-}(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C{P+}(C(C)(C)C)NC(=O)OC)NC(=O)OC	0	<no data>	<no data>	Pa
20	83015-26-3	Atomoxetin	Cc1ccccc1OC{P+}(CCNC)c1ccccc1	0.00075994	<no data>	<no data>	Pa
21	1610-17-9	Atraton (Isobare zu Prometon-Hydroxy)	CCNc1nc(NC(C)C)nc(OC)n1	0.0076527	<no data>	<no data>	Pa
22	1007-28-9	Atrazin-Desisopropyl	CCNc1nc(N)nc(Cl)n1	0.021198	<no data>	<no data>	Pa
23	51-55-8	Atropine	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	1.07E-06	<no data>	<no data>	Pa
24	35575-96-3	Azamethiphos	COP(=O)(OC)SCN1c2c(cc(Cl)cn2)OC1=O	8.88E-07	<no data>	<no data>	Pa
25	1185255-09-7	Azoxystrobinsäure	CO/C=C(\c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1)/C(O)=O	2.85E-13	<no data>	<no data>	Pa
26	2156-27-6	Benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1	1.26E-05	<no data>	<no data>	Pa
27	177406-68-7	Benthiavalicarb-isopropyl	CC(C)C{P-}(C(O)=NC{P+}(C)C1=Nc2ccc(F)cc2S1)N=C(O)OC(C)C	1.65E-13	<no data>	<no data>	Pa
28	153559-49-0	Bexarotene	Cc1cc2c(cc1C(=C)c1ccc(C(O)=O)cc1)C(C)(C)CCC2(C)C	2.19E-08	<no data>	<no data>	Pa
29	90357-06-5	Bicalutamid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	2.19E-16	<no data>	<no data>	Pa
30	53774-07-5	Bifenox-säure	OC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1N(=O)=O	3.89E-08	<no data>	<no data>	Pa
31	2438-72-4	Bufexamac	CCCCOc1ccc(CC(=O)NO)cc1	4.05E-08	<no data>	<no data>	Pa
32	2180-92-9	Bupivacaine	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C	1.53E-06	<no data>	<no data>	Pa
