Endpoint [Unit]				Tm [C]				Tb [K]				Vp  25°C [Pa]						Note:
Model				Fragment model suite	Read-across	"MPBPWIN v1.43: Mean Joback,Gold and Ogle method
"		"Fragment
model suite"	MPBPWIN v1.43: Adaption of the Stein & Brown fragment model)	Undisclosed		Grain CF 1990. Vapor pressure. In: Lyman WJ, Reehl WF, Rosenblatt DH (eds)  Handbook of Chemical Property Estimation Methods. (3rd edition) American Chemical Society, Washington (DC, USA). Chapter 14, pp. 14-1 - 14-20. (Antoine based version)	Read-across	Read-across	MPBPWIN v1.43: Grain modified Antoine model and Mackay model	Undisclosed model		0 in Vp from ACD - what does it mean?
Software				ChemProp	ChemProp	EPI Suite		ChemProp	EPI Suite	ACD		ChemProp	ChemProp	ChemProp	EPISUITE	ACD		Actually it calculates a small value in individual compound mode, but shows only a 0 in the batch. In contrast, empty fiels really mean, the method does not give a result
No	Line in table Compounds	MLoS number		Tm	Tm			Tb				Vp	Vp	chemical domain	Vp	Vp		
1	41	69		103.09	85.13	70.76		540.45	533.64	552.15		0.091086	2.9242	in	0.038657	0		
2	20	115		-13.057		65.06		544.62	480.74	525.85		1.8908	0.53333	in	12.1303	2.666		
3	42	5822		154.51		149.71		601.64	676.88			0.002686	0.000000282	in	7.25152E-07			
4	21	419		153.84		133.08		612.56	601.93	830.69		0.00026965			1.19037E-05	0		
5	22	466		-91.982	-50	-79.73		323.95	340.41	330.48		37478	31623	in	31458.8	29116.719		
6	43	577				150.44		638.71	655.15	696.22					0.000150629	0		
7	23	581		40.033		212.55		619.2	772.04			0.01619			3.7324E-08	0		
8	44	6052		72.251		158.32		648.62	675.97	696.84		0.00047793			3.85237E-05	0		
9	24	680		50.159	50.5	86.5		643.15	713.42	685.55		0.0011652			6.29176E-05	0		
10	45	682		43.498	-35	82.99		584.38	623.82	620.52		0.066497	5.0119	in	0.0521203	0		
11	46	777			186.94	208.66			763.73	783.2					5.0654E-10	0		
12	25	781		130.9	115.5	139.18		667.74	663.73			0.0000942			1.00508E-05	0		
13	26	788		200.97		161.57		665.76	702.79	716.4					8.97109E-07	0		
14	47	792		77.124	64	61.81		544.02	541.26	570.65		0.13196			0.01238357	0		
15	48	850		101.68	226	112.05		606.08	579.6	638.96		0.0044139	0.0000295	in	0.001223694	0		
16	27	908		-34.511	11.8	-63.61		372.92	374.92	376.02		5293.9	5081.6	in	5411.98	5096.059		
17	28	930		-106.39	-92.2	-106.24		251.82	288.21	279.28		554000	204000	in	195951	202653.324		
18	29	963		-4.2915	-63.87	16.43		550.57	574.35	534.31		0.7808			1.70624	2.666		
19	49	964		0.15509	-79	64.73		566.31	599.18	561.43		0.30709	0.15066	in	0.465217	0		
20	30	974		5.5223	-22.3	-60.56		442.57	386.43	392.26		311.13	2466	in	2372.74	2579.355		
21	50	1001		147.88	151.2	119.9		673.96	644	677.15		0.0000413	0.00059979	in	4.58552E-05	0		
22	31	1043		118.69	65.5	129.8		650.58	635.56	643.42		0.0000306			0.000882446	0		
23	51	1111		146.46	171	145.81		648.23	670.52	730.28		0.00025082			8.5312E-07	0		
24	39	1135		47.111	-40	72.27		604.13	637.64	631.62		0.017426			0.00751812	0		
25	40	1136		98.865	27	88.2		671.76	730.88	730.54		0.0000482			3.81238E-05	0		
26	52	1155		128.62	68.5	144.18		633.37	658.98	623.97		0.00038337			0.000901108	0		
27	32	1169		251.54		296.63		641.78	701.43	771.38		0.0000129			9.54428E-07	0		
28	53	1261		5.2324	-43.32	40.43		536.08	536.01	548.45		3.0126			1.195701	1.333		
29	54	1288		152.27	192	176.42		700.25	694.71	746.69		0.000000854			5.51862E-06	0		
30	55	1365				268.53			891.88	685.12					4.17229E-12	0		
31	56	1366		146.56	214.59	174.6		684.15	695.92	685.12		0.00000636			8.18462E-06	0		
32	57	1388		131.8	148.1	118.62		613.26	618.91	640.94		0.0013849	0.0000126	in	0.001178372	0		
33	58	1467		-94.695	-108.6	-94.3		322.4	319.19	328.35		41955	33343	in	33591.6	33491.625		
34	59	1508		143.37	190	119.5		602.41	600.82	538.78		0.00060691	0.0000158	in	0.000307923	1.333		
35	60	1514		169.31	205	154.76		549.33	653.39	585.31		0.022316	0.00014791	in	0.000149296	0		
36	61	1630		219		221.73		729.02	791.7	720.88		3.28E-08			9.18437E-09	0		
37	37	1646		103.85	173	113.91		612.19	585.18	641.63		0.0028141	0.0000385	in	0.00381238	0		
38	62	1797		95.917	94	149.15		669.37	675.72	704.47		0.0000616			0.000194618	0		
39	63	5784			138	173.04		522.52	687.46	668.86			0.00035481	in	3.41248E-05	0		
40	64	2019			53	90.06		708.21	750	717.83			0.0000501	in	7.30484E-06	0		
41	65	2054		87.902		115.18		600.02	627.97	661.29		0.020697			6.09181E-05	0		
42	66	2075		187.36		243.46		721.11	838.23			0.000000501			9.75756E-13			
43	33	2129		70.049	68	-0.28		518.68	447.82	460.15		2.985			32.7918	118.637		
44	67	2147		203.94	147	183.93		669.89	710.78	781.2		0.000000103			1.02508E-07	0		
45	68	2175		211.3	190.2	162.35		682.27	682.17	684.13		0.00000077			1.17304E-05	0		
46	34	2305		138.34	158	126.39		620.24	626.01	658.33		0.0007494	0.0000092	in	0.000619845	0		
47	69	2318				87.58			638.35	627.09			0.025119	in	0.00723819	0		
48	38	2331		127.88	54	136.79		630.19	645.77	617.78		0.00011642	0.022131	border in	0.000619845	0		
49	70	2339		134.34	158	108.78		613.6	616.37	626.34		0.0012777	0.00000813	in	0.001049071	0		
50	71	2826		88.033	78.4	116.15		622.91	634.59	671.8		0.000091			3.83904E-05	0		
51	72	2528		155.58	206.5	154.77		682.05	679.57	716.45		7.03E-08			1.78622E-07	0		
52	73	2561		189.67	145	211.47		749.23	769.74			1.22E-09			1.78622E-09			
53	74	2600		183.92	186	230.39		733.68	810.25	845.25		4.92E-08			8.15796E-09	0		
54	75	2760		162.59	286	180.72		659.86	703.96	742.17		0.00000543			1.24902E-09	0		
55	5	2761		131.78	200	152.43		635.38	667.62	719.07		0.0000723			2.65267E-07	0		
56	76	2813		120.22	-51.05	136.1		609.5	654.93	679.97		0.0035757	0.00038905	in	0.673165	0		
57	6	2817		128.52	115.1	118.46		600.29	604.28	585.25		0.00098831	0.00639	in	0.00171957	0		
58	77	2851		163.25	214.5	181.11		671.01	704.74	761.17					2.57269E-08	0		
59	78	2869		109.79	96	132.76		645.73	658.63	708.01		0.00068497			1.25835E-05	0		
