CAS	Name	SMILES	MW	pKa1	pKa2	pKb1	pKb2	HL neutral hydrolysis [h]	HL acid hydrolysis [h] at pH 7	HL basic hydrolysis [h] at pH 7	HL in soil [h]	HL in sed [h]	log Kaw	Predicted Ultimate Half Life	log Kow	WS Multicase/[mol/m3]	WS Multicase/[g/m3]	Vapour pressure (Antoine method)/[Pa]	Melting Point (Mean Joback Gold and Ogle method)/ [?C]	Boiling point [?C]
1912-24-9	Atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	215.69			12.3	16.56	1494.6	4.72E+06	1.43E+07	1700	1700	-8.3249	more than 10 years	2.82	0.0000512	0.011043328	0.0026664	181.1	313.03
71-43-2	Benzene	c1ccccc1	78.114								1700	5500	-0.57098	11m 22d	1.99	0.0394	3.0776916	11999	-77.92	102.24
470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	359.57							1.14E+06	1700	5500	-6.0565	1y 5m 14d	4.15	0.000112	0.04027184	0.00027731	96.8	397.78
2921-88-2	Chlorpyrifos (Chlorpyrifos-ethyl)	CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)c(Cl)n1	350.59					1537.9		15650	550	1700	-2.639	1y 0m 11d	5.11	0.00000589	0.002064975	0.0008586	90.86	377.43
107-06-2	1,2-dichloroethane	ClCCCl	98.96					3.67E+05		1.46E+08	1700	5500	-1.6497	1y 6m 29d	1.83	0.0294	2.909424	10399	-76.77	104.72
75-09-2	Dichloromethane	ClCCl	84.933					2.72E+05		1.06E+11	5500	17000	-0.94921	1y 1m 15d	1.34	0.108	9.172764	57729	-89.5	80.42
117-81-7	Di(2-ethylhexyl)phthalate (DEHP)	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	390.56					24453	8.80E+06	3.64E+06	550	1700	-3.609	20.42 days	8.39	1.68E-09	6.56141E-07	0.00076394	90.24	416.95
330-54-1	Diuron	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	233.1	13.76		15.63	16.48	10581			1700	5500	-8.0226	2y 5m 8d	2.67	0.000045	0.0104895	0.00027464	159.82	353.86
115-29-7	Endosulfan	O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	406.93								5500	17000	0.30022	7m 3d	3.5	0.0000921	0.037478253	0.000034397	235.24	401.28
34123-59-6	Isoproturon	CC(C)c1ccc(NC(=O)N(C)C)cc1	206.29	14.3		13.9	16.35				1700	5500	-7.3379	2y 0m 15d	2.84	0.0000928	0.019143712	0.00052529	130.23	344.22
91-20-3	Naphthalene	c1cccc2ccccc12	128.17								1700	5500	-1.8572	1y 10m 28d	3.17	0.0000926	0.011868542	6.2128	5.01	231.64
608-93-5	Pentachlorobenzene	Clc1cc(Cl)c(Cl)c(Cl)c1Cl	250.34								17000	17000	-1.6904	6y 3m 14d	5.22	0.00000183	0.000458122	0.20798	75.92	265.77
87-86-5	Pentachlorophenol	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	266.34	4.49							5500	5500	-3.9675	5y 8m 12d	4.74	0.000226	0.06019284	0.0010093	145.19	311.71
122-34-9	Simazine	CCNc1nc(NCC)nc(Cl)n1	201.67			12.3	17.56				550	1700	-8.4569	8y 2m 20d	2.4	0.00023	0.0463841	0.00089859	181.33	307.45
1461-22-9	Tributyltin Chloride	CCCC[Sn](Cl)(CCCC)CCCC	325.49								1700	5500	-1.1329	more than 10 years	4.7	7.01E-08	2.28168E-05	57.462	42.59	273.72
67-66-3	Trichloromethane (chloroform)	ClC(Cl)Cl	119.38					1.03E+07		9.65E+07	5500	17000	-0.7305	9m 1d	1.52	0.0469	5.598922	25598	-78.9	91.18
1582-09-8	Trifluralin	CCCN(CCC)c1c(N(=O)=O)cc(C(F)(F)F)cc1N(=O)=O	335.29					86.005		2.21E+05	1700	5500	-1.4592	1y 2m 17d	5.31	0.00000071	0.000238056	0.00052529	185.69	382.17
115-32-2	Dicofol	OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	370.49	9.69						21.112	17000	55000	-5.8745	4y 11m 29d	5.81	0.00000338	0.001252256	1.49E-06	193.02	397.63
74070-46-5	Aclonifen	Nc1c(N(=O)=O)ccc(Oc2ccccc2)c1Cl	264.67								1700	5500	-4.0485	9y 6m 1d	3.88	0.0000526	0.013921642	0.000069728	220.48	399.65
