Cas#	Chem. Name	Smiles	Quantity	Mixture/Salt	Map reliability	Observed Neutral hydrolysis rate constant /ln(Kn_Observed)	Predicted Neutral hydrolysis rate constant /ln(Kn_Predicted)	±_Predicted Neutral hydrolysis rate constant /ln(Kn_Predicted)	Primary Half Life by Kn	Parameter ranges	Structural domain				Mechanistic domain	Total Domain	Remark
											Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain			
15972-60-8	Alachlor	CCc1cccc(CC)c1N(COC)C(=O)CCl	1	 	N/A	No data	-11.5	 	3650.00000	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain	 
120-12-7	Anthracene	c1cccc2cc3ccccc3cc12	1	 	N/A	No data	-11.5	 	3650.00000	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
1912-24-9	Atrazine	CCNc1nc(NC(C)C)nc(Cl)n1	1	 	N/A	No data	-11.5	 	3650.00000	In domain	33.33%	0.00%	66.67%	Out of domain	In domain	Out of Domain	 
71-43-2	Benzene	c1ccccc1	1	 	N/A	No data	-11.5	 	3650.00000	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
93703-48-1	3,3',4,4'-Tetrabromodiphenyl ether	Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br	1	 	N/A	No data	-11.5	 	3650.00000	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
32534-81-9	1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene	Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	1	 	N/A	No data	-11.5	 	3650.00000	Out of domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
36483-60-0	1,2,3-tribromo-4-(2,3,5-tribromophenoxy)benzene	Brc1ccc(Oc2cc(Br)cc(Br)c2Br)c(Br)c1Br	1	 	N/A	No data	-11.5	 	3650.00000	Out of domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
68928-80-3	1,2,3,4,5-pentabromo-6-(2,3-dibromophenoxy)benzene	Brc1cccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c1Br	1	 	N/A	No data	-11.5	 	3650.00000	Out of domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain	 
470-90-6	Chlorfenvinphos	CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl	0.1558	 	0.7293	No data	-3.20	 	16.95028	In domain	53.33%	0.00%	46.67%	Out of domain	In domain	Out of Domain	 
2921-88-2	Chlorpyrifos (Chlorpyrifos-ethyl)	CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)c(Cl)n1	0.4085	 	1.0000	No data	-3.46	 	22.02630	In domain	61.54%	0.00%	38.46%	Out of domain	In domain	Out of Domain	 
107-06-2	1,2-dichloroethane	ClCCCl	0.233	 	0.7756	No data	-3.65	 	26.64944	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain	 
75-09-2	Dichloromethane	ClCCl	0.9809	 	0.3333	No data	-7.28	 	1004.83386	In domain	66.67%	0.00%	33.33%	Out of domain	In domain	Out of Domain	 
