CAS Number	Chemical name(s)	SMILES	Primary Half Life by Kn	Ultimate Half Life Predicted	Molecular Weight	Mean Melting Point	Vapor Pressure (Antoine Method)	Water Solubility	Ka Half-Life (pH 7)	Kb half-life (pH 7)	log Kow	Boiling Point
100-97-0	methenamine	C1N2CN3CN1CN(C2)C3	3650	21.80 days	140.18	235.84	14.265	7133.5	Can not calculate	Can not calculate	-4.15	208.59
108-78-1	melamine	Nc1nc(N)nc(N)n1	3650	1m 19d	126.12	349.84	7.04E-06	7929	Can not calculate	Can not calculate	-0.38	329.78
109-89-7	diethylamine	CCNCC	3650	15.99 days	73.13	-85.66	31864	5974	Can not calculate	Can not calculate	0.81	68.26
112-02-7	cetrimonium chloride	CCCCCCCCCCCCCCCCN{+}(C)(C)(C).Cl{-}	3650	17.92 days	319.98	349.84	5.60E-10	5.10E-02	Can not calculate	Can not calculate	3.18	499.89
115-86-6	triphenyl phosphate	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	18.98192	13.22 days	326.27	75	5.43E-06	3.17E-03	428.44	428.44	4.7	441.27
120-18-3	naphthalene-2-sulphonic acid	OS(=O)(=O)c1ccc2ccccc2c1	3650	2y 1m 22d	208.22	211.76	1.87E-06	55.229	Can not calculate	Can not calculate	0.01	391.58
120-40-1	N,N-bis(2-hydroxyethyl)dodecanamide	CCCCCCCCCCCC(=O)N(CCO)CCO	3650	20.02 days	287.42	232.92	5.72E-08	0.17365	Can not calculate	Can not calculate	2.89	430.64
123-91-1	1,4-dioxane	C1COCCO1	3650	5y 11m 3d	88.10	-73.56	5679.5	2427.9	Can not calculate	Can not calculate	-0.32	102.77
124-40-3	dimethylamine	CNC	3650	15.86 days	45.08	-108.2	1.97E+05	22182	Can not calculate	Can not calculate	-0.17	16.06
126-71-6	triisobutyl phosphate	CC(C)COP(=O)(OCC(C)C)OCC(C)C	1021.68384	10m 1d	266.30	7.16	1.6932	6.09E-02	3911.8	3911.8	3.6	302.2
127-18-4	tetrachloroethylene	ClC(Cl)=C(Cl)Cl	45.05334	6m 24d	165.83	-74.18	2519.8	0.48435	Can not calculate	Can not calculate	2.97	114.28
