CAS Number	pKa1	pKa2	pKb1	pKb2	Tb [C]	log Kaw	log Koa
50-28-2	10.27	15.09			362.23	-6.2326	7.6511
51-28-5	4.04				327.14	-10.364	8.8366
53-16-7	10.25				362.69	-2.9057	3.4111
58-08-2			13.48	17.83	367.75	-1.3483	10.366
58-22-0	15.06				366.23	-3.9832	8.7201
60-00-4	1.78	3.3	2.76	7.96	447.98	-6.6075	10.057
63-05-8					366.68	-14.403	14.957
67-43-6	1.48	2.2	2.76	3.47	506.35	-4.1167	2.9027
67-66-3					78.55	-3.1721	2.5385
76-03-9	0.09				208.28	-3.5023	7.5555
77-93-0	11.57				316.60	0.1921	3.3905
80-09-1	8.23	7.64			427.79	-6.0375	9.266
91-20-3					244.66	-5.8722	9.5766
95-14-7	8.38		12.83		198.03	-7.8425	12.907
95-16-9			13.15		216.72	-20.657	15.718
100-97-0			8.72	13.34	271.47	-6.2918	9.6091
108-78-1			8.61	10.95	339.41	-3.2539	4.4166
109-89-7			3.24		50.80	-8.1599	10.536
112-02-7					346.05	-4.2353	10.047
115-86-6					370.00	-9.5911	14.288
120-18-3	0.27				394.59	-5.4561	7.6633
120-40-1	14.13	14.82	14.85		392.61	-9.4198	13.385
123-91-1					99.77	-5.1035	12.275
124-40-3			3.26		-21.33	-8.1664	12.771
126-71-6					277.42	-30.104	22.688
127-18-4					169.42	-7.995	11.868
131-57-7	7.56				377.43	-1.1073	2.5897
139-13-9	1.49	2.27	3.7		368.63	-39.55	29.658
288-13-1	14		11.17		245.53	-0.7955	2.5502
330-54-1	13.55		15.09	16.48	347.09	-6.8928	8.6992
637-92-3					69.98	-10.877	8.3896
791-28-6						-10.925	10.73
1912-24-9			11.73	16.56	339.04	-11.171	14.781
3380-34-5	7.8				357.04	-1.8599	5.2411
13674-84-5					330.98	-4.2076	6.8835
13674-87-8					398.61	-4.1003	4.9904
657-24-9	11.9	2.98	1.75	10.89	189.66	-13.27	7.90
75847-73-3	5.55		8.57	17.01	435.60	-16.37	16.46
100-02-7	7.2				267.30	-6.8046	8.1033
10605-21-7	10		9.5		328.49	-8.7965	12.202
111988-49-9			7.02	14.58	365.56	-12.905	8.2803
113665-84-2			13.66		375.47	-8.8604	11.466
115-96-8					311.23	-6.2718	8.9337
120068-37-3						-10.182	11.877
120-47-8	8.5				270.87	-6.9569	8.5209
122-34-9			12.3		332.93	-6.425	9.3948
126-73-8					293.16	-3.5023	8.2215
129-00-0					400.81	-3.7298	8.4949
13523-86-9	14.07		4.5		375.08	-11.03	12.607
137-58-6	13.06		6.1		360.22	-10.749	10.316
143-24-8					262.93	-7.6893	7.2989
144-83-2	8.78		10.95	12.73	427.10	-11.127	12.092
15307-79-6	4.35				377.25	-6.0169	10.106
15307-86-5	4.35				411.00	-8.1674	12.932
15545-48-9	13.97		14.97		340.11	-7.9444	10.154
1634-04-4					49.25	-1.2405	2.1534
1689-84-5	4.2				329.26	-5.7828	9.7993
1698-60-8			10.71		276.18	-8.8279	9.9499
