No.	CAS	DHaw	DHaw (Unit)
1	50-28-2	105.79	kJ/mol
2	51-28-5	39.207	kJ/mol
3	53-16-7	86.951	kJ/mol
4	58-08-2	73.704	kJ/mol
5	58-22-0	109.85	kJ/mol
6	60-00-4	203.92	kJ/mol
7	63-05-8	91.01	kJ/mol
8	67-43-6	267.08	kJ/mol
9	67-66-3	25.366	kJ/mol
10	76-03-9	70.679	kJ/mol
11	77-93-0	98.725	kJ/mol
12	80-09-1	104.53	kJ/mol
13	91-20-3	40.7	kJ/mol
14	95-14-7	93.077	kJ/mol
15	95-16-9	48.683	kJ/mol
16	100-97-0	110.15	kJ/mol
17	108-78-1	139.16	kJ/mol
18	109-89-7	49.391	kJ/mol
19	112-02-7	96.753	kJ/mol
20	115-86-6		kJ/mol
21	120-18-3	69.013	kJ/mol
22	120-40-1	143.75	kJ/mol
23	123-91-1	40.7	kJ/mol
24	124-40-3	43.648	kJ/mol
25	126-71-6		kJ/mol
26	127-18-4	29.654	kJ/mol
27	131-57-7	75.829	kJ/mol
28	139-13-9	140.76	kJ/mol
29	288-13-1	65.491	kJ/mol
30	330-54-1	82.51	kJ/mol
31	637-92-3	52.626	kJ/mol
32	791-28-6		kJ/mol
33	1912-24-9	138.56	kJ/mol
34	3380-34-5	54.77	kJ/mol
35	13674-84-5		kJ/mol
36	13674-87-8		kJ/mol
37	100-02-7	53.947	kJ/mol
38	10605-21-7	114.92	kJ/mol
39	111988-49-9	111.57	kJ/mol
40	113665-84-2	87.87	kJ/mol
41	115-96-8		kJ/mol
42	120068-37-3	142.66	kJ/mol
43	120-47-8	60.628	kJ/mol
44	122-34-9	135.69	kJ/mol
45	126-73-8		kJ/mol
46	129-00-0	41.083	kJ/mol
47	13523-86-9	134.77	kJ/mol
48	137-58-6	122.44	kJ/mol
49	143-24-8	123.82	kJ/mol
50	144-83-2	124.91	kJ/mol
51	15307-79-6		kJ/mol
52	15307-86-5	102.61	kJ/mol
53	15545-48-9	82.012	kJ/mol
54	1634-04-4	49.755	kJ/mol
55	1689-84-5	78.375	kJ/mol
56	1698-60-8	100.68	kJ/mol
57	188425-85-6	111.26	kJ/mol
58	22071-15-4	90.799	kJ/mol
59	25057-89-0	82.395	kJ/mol
60	2642-71-9		kJ/mol
61	27203-92-5	112.78	kJ/mol
62	27503-81-7	113.81	kJ/mol
63	29122-68-7	156.88	kJ/mol
64	298-46-4	87.755	kJ/mol
65	333-41-5		kJ/mol
66	34123-59-6	87.162	kJ/mol
67	37350-58-6	131.75	kJ/mol
68	3930-20-9	146.14	kJ/mol
69	4065-45-6	104.14	kJ/mol
70	41859-67-0	128.26	kJ/mol
71	50-27-1	138.56	kJ/mol
72	51218-45-2	95.145	kJ/mol
73	520-85-4	119.61	kJ/mol
74	525-66-6	117.05	kJ/mol
75	52888-80-9	51.497	kJ/mol
76	54-31-9	140.44	kJ/mol
77	55589-62-3		kJ/mol
78	56-75-7	167.76	kJ/mol
79	57-83-0	96.753	kJ/mol
80	58-89-9	56.168	kJ/mol
81	58-93-5	132.92	kJ/mol
82	5915-41-3	141.43	kJ/mol
83	60142-96-3	87.947	kJ/mol
84	604-75-1	134.49	kJ/mol
85	60-80-0	79.925	kJ/mol
86	63-25-2	69.262	kJ/mol
87	65277-42-1	181.94	kJ/mol
88	66108-95-0	384.54	kJ/mol
89	67129-08-2	117.31	kJ/mol
90	69-72-7	71.311	kJ/mol
91	70-55-3	76.728	kJ/mol
92	723-46-6	130.58	kJ/mol
93	7287-19-6	147.92	kJ/mol
94	73334-07-3	332.47	kJ/mol
95	738-70-5	139.14	kJ/mol
96	78-51-3		kJ/mol
97	78649-41-9	333.24	kJ/mol
98	80-05-7	92.579	kJ/mol
99	81-07-2	80.327	kJ/mol
100	81103-11-9	362.97	kJ/mol
101	81-25-4	196.38	kJ/mol
102	83881-51-0	161.02	kJ/mol
103	84057-84-1	133.95	kJ/mol
104	846-49-1	135.08	kJ/mol
105	886-50-0	147.92	kJ/mol
106	90357-06-5	150.43	kJ/mol
107	90-43-7	58.408	kJ/mol
108	93-65-2	79.255	kJ/mol
109	94-13-3	63.5	kJ/mol
110	94-74-6	70.698	kJ/mol
111	94-75-7	68.42	kJ/mol
112	657-24-9	137.01	kJ/mol
113	75847-73-3	152.79	kJ/mol
