No	CAS number	Name	SMILES	Map reliability	Observed Neutral hydrolysis rate constant /ln(Kn_Observed)	Predicted Neutral hydrolysis rate constant /ln(Kn_Predicted)	Primary Half Life by Kn	Parameter ranges	Correct fragments Structural domain	Incorrect fragments Structural domain	Unknown fragments Structural domain	Total Structural domain	Mechanistic domain	Total Domain
1	100-02-7	4-nitrophenol	Oc1ccc(N(=O)=O)cc1	N/A	No data	-11.5	3650	In domain	80.00%	0.00%	20.00%	Out of domain	In domain	Out of Domain
2	10605-21-7	Carbendazim	COC(=O)NC1Nc2ccccc2N=1	N/A	No data	-11.5	3650	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
3	111988-49-9	Thiacloprid	N#C/N=C1N(Cc2ccc(Cl)nc2)CCS/1	N/A	No data	-11.5	3650	In domain	18.18%	0.00%	81.82%	Out of domain	In domain	Out of Domain
4	113665-84-2	Klopidogrel	COC(=O)C{P+}(c1ccccc1Cl)N1CCC2=C(C1)C=CS2	1	No data	-3.72	28.48449	In domain	31.25%	12.50%	56.25%	Out of domain	In domain	Out of Domain
5	115-96-8	tris(2-chloroethyl) phosphate	O=P(OCCCl)(OCCCl)OCCCl	0.3621	No data	-3.62	25.97199	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
6	120068-37-3	Fipronil	NC1=C(S(=O)C(F)(F)F)C(C#N)=NN1c1c(Cl)cc(C(F)(F)F)cc1Cl	1	No data	-0.552	1.20412	In domain	28.57%	0.00%	71.43%	Out of domain	In domain	Out of Domain
7	120-47-8	ethyl 4-hydroxybenzoate	CCOC(=O)c1ccc(O)cc1	N/A	No data	-11.5	3650	In domain	85.71%	0.00%	14.29%	Out of domain	Out of domain	Out of Domain
8	122-34-9	Simazine	CCNc1nc(NCC)nc(Cl)n1	N/A	No data	-11.5	3650	In domain	25.00%	0.00%	75.00%	Out of domain	In domain	Out of Domain
9	126-73-8	tributyl phosphate	CCCCOP(=O)(OCCCC)OCCCC	0.5163	No data	-7.3	1021.68384	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
10	129-00-0	pyrene	c1ccc2ccc3cccc4ccc1c2c34	N/A	No data	-11.5	3650	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
11	13523-86-9	Pindolol	CC(C)NCC(O)COc1cccc2c1C=CN2	N/A	No data	-11.5	3650	In domain	53.85%	0.00%	46.15%	Out of domain	In domain	Out of Domain
12	137-58-6	Lidokain	CCN(CC)CC(=O)Nc1c(C)cccc1C	N/A	No data	-11.5	3650	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain
13	143-24-8	bis(2-(2-methoxyethoxy)ethyl) ether	COCCOCCOCCOCCOC	N/A	No data	-11.5	3650	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain
14	144-83-2	sulfapyridine	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	N/A	No data	-11.5	3650	In domain	0.00%	0.00%	100.00%	Out of domain	In domain	Out of Domain
