Nr	CAS number	Tb [K] ChemProp	Tm [C] ChemProp Fragment model	Tm [C] ChemProp Read-across model	Vp 25 [Pa] ChemProp (Antoine based)	log Sw [mol/L] ChemProp	log Sw [mol/L] ACD	pKa1 ACD	pKa2 ACD	pKb1 ACD	pKb2 ACD	HL hyd acid pH 7 [h] ChemProp	HL hyd base pH 7 [h] ChemProp	HL hyd neutral [h] ChemProp	HL hyd total pH 7 [h] ChemProp	HL sed [h] ChemProp	HL soil [h] ChemProp	HL water [h] ChemProp	log Kow ChemProp Consensus model (fragments)	log Kow ChemProp Read-across	log Kow ACD Fragments	log Kow ACD Similarity based	log Kow ACD Consensus	log Kaw ChemProp	log Koa ChemProp	Tb [C] ChemProp
7	50-28-2	635	132	200	7.23E-05	-4.4903	-4.56	10.27	15.09							550	170	170	3.6008	4.01	4.13	3.37	3.62	-6.2326	7.6511	362
14	51-28-5	600	129	115	0.00098831	-1.9357	-2.04	4.04								5500	1700	170	0.69977	1.91	1.74	1.62	1.66	-10.364	8.8366	327
19	53-16-7	636	122	260	8.69E-05	-4.5141	-4.34	10.25								1700	550	170	3.6311	3.13	3.69	3.23	3.38	-2.9057	3.4111	363
47	58-08-2	641	128	238	0.00061659	0.22091	-0.83			13.48	17.83					1700	550	170	-0.09012	-0.07	-0.13	0.42	0.28	-1.3483	10.366	368
48	58-22-0	639	143	155		-4.0806	-4.14	15.06				1.14E+06	1.14E+06	964.99	963.37	5500	1700	550	3.2644	3.32	3.48	3.06	3.16	-3.9832	8.7201	366
55	60-00-4	721	319		6.51E-09	-3.0681	-0.27	1.78	3.3	2.76	7.96					1700	550	170	-2.3518		-0.43	-1.54	-0.92	-6.6075	10.057	448
70	63-05-8	640	134	158	0.00049328	-4.1183	-3.97									5500	1700	550	3.2087	2.75	2.9	2.91	2.9	-14.403	14.957	367
83	67-43-6	780	365		1.28E-11	-5.2991	0.23	1.48	2.2	2.76	3.47					1700	550	170	-3.0252		0.05	-1.9	-0.5	-4.1167	2.9027	507
90	67-66-3	352	-66	-64	12972	-1.2559	-1.58									17000	5500	1700	1.8449	1.97	1.76	2	1.95	-3.1721	2.5385	79
180	76-03-9	481	45	58	21.451	-0.014166	0.51	0.09								5500	1700	550	1.4103	1.33	1.67	1.45	1.52	-3.5023	7.5555	208
202	77-93-0	590	59		0.0030169	-1.8625	-0.87	11.57					2.37E+12	1.36E+05	1.36E+05	550	170	55	0.6103		1.49	0.91	1.09	0.1921	3.3905	317
272	80-09-1	701	190	241	1.86E-08	-2.1028	-2.32	8.23	7.64							1700	550	170	1.9401	0.93	1.83	1.8	1.81	-6.0375	9.266	428
389	91-20-3	518	52	80	4.7645	-3.1495	-3.63									5500	1700	170	2.9478	3.265	3.45	3.34	3.37	-5.8722	9.5766	245
440	95-14-7	471		100		-1.1893	-1.44	8.38		12.83						1700	550	170	1.3092	1.44	1.34	1.61	1.54	-7.8425	12.907	198
441	95-16-9	490	-16	2	35.704	-2.08	-1.99			13.15						1700	550	170	2.2152	2.01	2.01	2.13	2.09	-20.657	15.718	217
