No	CAS Number	Chemical name	SMILES	Dhaw	Dhaw (Unit)
1	100-02-7	4-nitrophenol	Oc1ccc(cc1)[N+]([O-])=O	53.947	kJ/mol
2	10605-21-7	Carbendazim	COC(=O)Nc1nc2ccccc2[nH]1	114.92	kJ/mol
3	111988-49-9	Thiacloprid	Clc1ccc(CN2CCSC2=NC#N)cn1	111.57	kJ/mol
4	113665-84-2	Klopidogrel	COC(=O)C(N1CCc2sccc2C1)c1ccccc1Cl	87.87	kJ/mol
5	115-96-8	tris(2-chloroethyl) phosphate	ClCCOP(=O)(OCCCl)OCCCl		kJ/mol
6	120068-37-3	Fipronil	Nc1c([S+]([O-])C(F)(F)F)c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N	142.66	kJ/mol
7	120-47-8	ethyl 4-hydroxybenzoate	CCOC(=O)c1ccc(O)cc1	60.628	kJ/mol
8	122-34-9	Simazine	CCNc1nc(Cl)nc(NCC)n1	135.69	kJ/mol
9	126-73-8	tributyl phosphate	CCCCOP(=O)(OCCCC)OCCCC		kJ/mol
10	129-00-0	pyrene	c1cc2ccc3cccc4ccc(c1)c2c34	41.083	kJ/mol
11	13523-86-9	Pindolol	CC(C)NCC(O)COc1cccc2[nH]ccc12	134.77	kJ/mol
12	137-58-6	Lidokain	CCN(CC)CC(=O)Nc1c(C)cccc1C	122.44	kJ/mol
13	143-24-8	bis(2-(2-methoxyethoxy)ethyl) ether	COCCOCCOCCOCCOC	123.82	kJ/mol
14	144-83-2	sulfapyridine	Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1	124.91	kJ/mol
15	15307-79-6	sodium [2-[(2,6-dichlorophenyl)amino]phenyl]acetate	[Na+].[O-]C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl		kJ/mol
16	15307-86-5	diclofenac	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	102.61	kJ/mol
17	15545-48-9	Chlorotoluron	CN(C)C(=O)Nc1ccc(C)c(Cl)c1	82.012	kJ/mol
18	1634-04-4	tert-butyl methyl ether	COC(C)(C)C	49.755	kJ/mol
19	1689-84-5	Bromoxynil	Oc1c(Br)cc(cc1Br)C#N	78.375	kJ/mol
20	1698-60-8	Chloridazon	NC1C=NN(c2ccccc2)C(=O)C=1Cl	100.68	kJ/mol
21	188425-85-6	Boscalid	Clc1ccc(cc1)-c1ccccc1NC(=O)c1cccnc1Cl	111.26	kJ/mol
22	22071-15-4	Ketoprofen	CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1	90.799	kJ/mol
23	25057-89-0	Bentazone	CC(C)N1C(=O)c2ccccc2NS1(=O)=O	82.395	kJ/mol
24	2642-71-9	Azinphos-ethyl	CCOP(=S)(OCC)SCN1N=Nc2ccccc2C1=O		kJ/mol
25	27203-92-5	Tramadol	COc1cccc(c1)C1(O)CCCCC1CN(C)C	112.78	kJ/mol
26	27503-81-7	2-phenyl-1H-benzimidazole-5-sulphonic acid	OS(=O)(=O)c1ccc2nc([nH]c2c1)-c1ccccc1	113.81	kJ/mol
27	29122-68-7	Atenolol	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	156.88	kJ/mol
28	298-46-4	Karbamazepin	NC(=O)N1c2ccccc2C=Cc2ccccc12	87.755	kJ/mol
29	333-41-5	Diazinon	CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C		kJ/mol
30	34123-59-6	Isoproturon	CC(C)c1ccc(NC(=O)N(C)C)cc1	87.162	kJ/mol
31	37350-58-6	Metoprolol	COCCc1ccc(OCC(O)CNC(C)C)cc1	131.75	kJ/mol
32	3930-20-9	Sotalol	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	146.14	kJ/mol
33	4065-45-6	sulisobenzone	COc1cc(O)c(cc1S(O)(=O)=O)C(=O)c1ccccc1	104.14	kJ/mol
34	41859-67-0	Bezafibrat	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O	128.26	kJ/mol
35	50-27-1	Estriol	CC12CCC3C(CCc4cc(O)ccc34)C1CC(O)C2O	138.56	kJ/mol
36	51218-45-2	Metolachlor	CCc1cccc(C)c1N(C(C)COC)C(=O)CCl	95.145	kJ/mol
37	520-85-4	Medroxiprogesteron	CC1CC2C(CCC3(C)C2CCC3(O)C(C)=O)C2(C)CCC(=O)C=C12	119.61	kJ/mol
38	525-66-6	Propranolol	CC(C)NCC(O)COc1cccc2ccccc12	117.05	kJ/mol
39	52888-80-9	Prosulfocarb	CCCN(CCC)C(=O)SCc1ccccc1	51.497	kJ/mol
40	54-31-9	Furosemid	NS(=O)(=O)c1cc(C(O)=O)c(NCc2ccco2)cc1Cl	140.44	kJ/mol
41	55589-62-3	6-methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide, potassium salt	[K+].CC1OS(=O)(=O)N=C([O-])C=1		kJ/mol
42	56-75-7	Kloramfenikol	OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O	167.76	kJ/mol
43	57-83-0	progesterone	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	96.753	kJ/mol
44	58-89-9	Lindane	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	56.168	kJ/mol
