No	CAS Number	Name	SMILES	Model output	Model domain	Converted to:	1	20
1	100-02-7	4-nitrophenol	Oc1ccc(cc1)[N+]([O-])=O	0.00021084	inside	0.000700919		
2	100-97-0	methenamine	C1N2CN3CN1CN(C2)C3	0.039134	outside	0.130097504		
3	10605-21-7	Carbendazim	COC(=O)Nc1nc2ccccc2[nH]1	0.00024104	outside	0.000801316		
4	108-78-1	melamine	Nc1nc(N)nc(N)n1	0.0099145	outside	0.032959874		
5	109-89-7	diethylamine	CCNCC	8.05E-05	outside	0.000267615		
6	111988-49-9	Thiacloprid	Clc1ccc(CN2CCSC2=NC#N)cn1	0.0013023	outside	0.004329381		
7	112-02-7	cetrimonium chloride	[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C	5.77E-06	outside	1.92E-05		
8	113665-84-2	Klopidogrel	COC(=O)C(N1CCc2sccc2C1)c1ccccc1Cl	0.0017298	outside	0.005750566		
9	115-86-6	triphenyl phosphate	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	4.97E-05	inside	0.000165223		
10	115-96-8	tris(2-chloroethyl) phosphate	ClCCOP(=O)(OCCCl)OCCCl	0.00010198	inside	0.000339023		
11	120068-37-3	Fipronil	Nc1c([S+]([O-])C(F)(F)F)c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N	1.93E-29	outside	6.42E-29		
12	120-18-3	naphthalene-2-sulphonic acid	OS(=O)(=O)c1ccc2ccccc2c1	6.50E-06	outside	2.16E-05		
13	120-40-1	N,N-bis(2-hydroxyethyl)dodecanamide	CCCCCCCCCCCC(=O)N(CCO)CCO	0.0011845	outside	0.003937765		
14	120-47-8	ethyl 4-hydroxybenzoate	CCOC(=O)c1ccc(O)cc1	0.00045452	border out	0.001511011		
15	122-34-9	Simazine	CCNc1nc(Cl)nc(NCC)n1	0.00010216	inside	0.000339622		
16	123-91-1	1,4-dioxane	C1COCCO1	0.00020691	outside	0.000687854		
17	124-40-3	dimethylamine	CNC	0.00012321	outside	0.000409601		
