No	CAS Number	Name	SMILES	Map reliability	BOD_Observed	BOD	±_BOD	Excess BOD	Kbiodeg [1/s]	Primary Half Life	Ultimate Half Life Predicted	Obs. half life by BOD	Parameter ranges	Structural domain			Total Structural domain	Unable to mineralize	Total Domain																							
1	100-02-7	4-nitrophenol	Oc1ccc(cc1)[N+]([O-])=O	0.2447	0.043	0.03	0	0.027	1.15E-08	11m 9d	1y 10m 30d	1y 2m 17d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
2	100-97-0	methenamine	C1N2CN3CN1CN(C2)C3	0.0002	0.22	0.59	0.05	0.59	3.68E-07	 < 1 day	21.80 days	2m 19d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
3	10605-21-7	Carbendazim	COC(=O)Nc1nc2ccccc2[nH]1	0.0498	0	0.03	0.04	0.028	1.19E-08	3m 9d	1y 10m 7d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
4	108-78-1	melamine	Nc1nc(N)nc(N)n1	0.7201	0	0.32	0.11	0.32	1.62E-07	5.03 days	1m 19d	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
5	109-89-7	diethylamine	CCNCC	0.0743	0.69	0.7	0.05	0.7	5.02E-07	9.51 days	15.99 days	16.57 days	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
6	111988-49-9	Thiacloprid	Clc1ccc(CN2CCSC2=NC#N)cn1	N/A	No data	0.05	0.05	0.053	2.24E-08	1m 13d	11m 24d	 	In domain	9.09%	0.00%	90.91%	Out of domain	In domain	Out of Domain																							
7	112-02-7	cetrimonium chloride	[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C	0.3476	No data	0.67	0.04	0.67	4.59E-07	 < 1 day	17.49 days	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
8	113665-84-2	Klopidogrel	COC(=O)C(N1CCc2sccc2C1)c1ccccc1Cl	N/A	No data	0.16	0.04	0.16	7.27E-08	5.32 days	3m 19d	 	In domain	50.00%	0.00%	50.00%	Out of domain	In domain	Out of Domain																							
9	115-86-6	triphenyl phosphate	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	0.0007	0.885	0.77	0.13	0.77	6.07E-07	9.44 days	13.22 days	8.97 days	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
10	115-96-8	tris(2-chloroethyl) phosphate	ClCCOP(=O)(OCCCl)OCCCl	0.0676	0.04	0.04	0.04	0.036	1.50E-08	3m 25d	1y 5m 18d	1y 3m 20d	In domain	100.00%	0.00%	0.00%	In domain	In domain	In domain																							
