No	No	CAS Number	Name	SMILES	Water Solubility [mg/L] EPI-Suite	Water Solubility [mg/L] ChemProp	Water Solubility [mg/L] ACD/Percepta
1	1	100-02-7	4-nitrophenol	Oc1ccc(cc1)[N+]([O-])=O	7.51E+03	3.80E+04	5.41E+03
2	2	100-97-0	methenamine	C1N2CN3CN1CN(C2)C3	1.00E+06	1.00E+06	9.92E+05
3	3	10605-21-7	Carbendazim	COC(=O)Nc1nc2ccccc2[nH]1	2.44E+03	1.01E+03	5.03E+01
4	4	108-78-1	melamine	Nc1nc(N)nc(N)n1	1.00E+06	9.11E+05	8.53E+03
5	5	109-89-7	diethylamine	CCNCC	4.37E+05	4.18E+05	7.84E+04
6	6	111988-49-9	Thiacloprid	Clc1ccc(CN2CCSC2=NC#N)cn1	232	407.5	348.864515
7	7	112-02-7	cetrimonium chloride	[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C	16.3	0.0058673	0.29865071
8	8	113665-84-2	Klopidogrel	COC(=O)C(N1CCc2sccc2C1)c1ccccc1Cl	50.8	48.712	42.4254566
9	9	115-86-6	triphenyl phosphate	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	1.03	2.2576	1.2694154
10	10	115-96-8	tris(2-chloroethyl) phosphate	ClCCOP(=O)(OCCCl)OCCCl	878	466.55	5076.80989
11	11	120068-37-3	Fipronil	Nc1c([S+]([O-])C(F)(F)F)c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N	0.374	0.01773	1.09807115
12	12	120-18-3	naphthalene-2-sulphonic acid	OS(=O)(=O)c1ccc2ccccc2c1	1.15E+04	2.67E+03	2.08E+03
13	13	120-40-1	N,N-bis(2-hydroxyethyl)dodecanamide	CCCCCCCCCCCC(=O)N(CCO)CCO	49.9	22.082	117.097387
14	14	120-47-8	ethyl 4-hydroxybenzoate	CCOC(=O)c1ccc(O)cc1	1.89E+03	1.60E+03	8.92E+02
15	15	122-34-9	Simazine	CCNc1nc(Cl)nc(NCC)n1	590	34.471	45.1482892
16	16	123-91-1	1,4-dioxane	C1COCCO1	2.14E+05	4.40E+04	5.31E+05
17	17	124-40-3	dimethylamine	CNC	1.00E+06	1.00E+06	2.65E+05
18	18	126-71-6	triisobutyl phosphate	CC(C)COP(=O)(OCC(C)C)OCC(C)C	16.2	314.13	3676.23937
19	19	126-73-8	tributyl phosphate	CCCCOP(=O)(OCCCC)OCCCC	7.36	1011.6	1060.23902
20	20	127-18-4	tetrachloroethylene	ClC(Cl)=C(Cl)Cl	80.3	455.67	456.733746
21	21	129-00-0	pyrene	c1cc2ccc3cccc4ccc(c1)c2c34	0.225	0.027518	0.05198883
22	22	131-57-7	oxybenzone	COc1ccc(C(=O)c2ccccc2)c(O)c1	68.6	139.2	128.354407
23	23	13523-86-9	Pindolol	CC(C)NCC(O)COc1cccc2[nH]ccc12	7.88E+03	6.66E+03	3.43E+03
24	24	13674-84-5	tris(2-chloro-1-methylethyl) phosphate	CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl	51.9	29.896	1217.03795
25	25	13674-87-8	tris[2-chloro-1-(chloromethyl)ethyl] phosphate	ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl	1.5	1.8996	133.16392
26	26	137-58-6	Lidokain	CCN(CC)CC(=O)Nc1c(C)cccc1C	238	680.81	3387.3881
